series,subplot,scale,Disturbance.Frequency,Disturbance.Severity
BS19005,NW,1e-4,1.26891,0.47228
BS19005,NW,0.001,1.26891,0.47228
BS19005,NW,0.01,1.5344775,0.560095
BS19005,NW,0.1,1.5193937499999999,0.5212475
BS19005,NW,1,1.3200427777777777,0.5544044444444445
BS19005,NW,10,1.3288565384615385,0.5368292307692307
BS19005,SE,1e-4,1.104005,0.53104
BS19005,SE,0.001,1.0034166666666666,0.5326566666666667
BS19005,SE,0.01,1.1619760000000001,0.49884999999999996
BS19005,SE,0.1,1.165497,0.513963
BS19005,SE,1,1.3407136842105263,0.5325773684210526
BS19005,SE,10,1.3542120689655173,0.5340944827586207
BS19005,x,100,1.3261707894736843,0.5368631578947368
BS19013,NW,1e-4,1.26891,0.47228
BS19013,NW,0.001,1.1954799999999999,0.4476
BS19013,NW,0.01,1.1954799999999999,0.4476
BS19013,NW,0.1,1.17409,0.48999833333333337
BS19013,NW,1,1.1531485714285714,0.4917128571428572
BS19013,NW,10,1.2732785,0.5153425
BS19013,SE,1e-4,1.2324199999999998,0.486915
BS19013,SE,0.001,1.2468533333333334,0.44594333333333336
BS19013,SE,0.01,1.1592675,0.47402500000000003
BS19013,SE,0.1,1.1825616666666667,0.4831
BS19013,SE,1,1.278349,0.495429
BS19013,SE,10,1.2857023076923078,0.5212773076923077
BS19013,x,100,1.2573455263157896,0.5207097368421053
BS19023,NW,1e-4,1.32442,0.53746
BS19023,NW,0.001,1.4089733333333332,0.6026966666666667
BS19023,NW,0.01,1.3576566666666667,0.6018316666666667
BS19023,NW,0.1,1.4194863636363637,0.5543327272727273
BS19023,NW,1,1.3982635714285714,0.582245
BS19023,NW,10,1.3885278260869565,0.5754965217391305
BS19023,SE,1e-4,1.538835,0.51764
BS19023,SE,0.001,1.538835,0.51764
BS19023,SE,0.01,1.4484949999999999,0.5088075
BS19023,SE,0.1,1.44288,0.52637
BS19023,SE,1,1.4085727777777777,0.5290477777777778
BS19023,SE,10,1.4045946428571428,0.5454571428571429
BS19023,x,100,1.3979805405405406,0.5557502702702702
BS19031,NW,1e-4,1.2321,0.5702849999999999
BS19031,NW,0.001,1.2321,0.5702849999999999
BS19031,NW,0.01,1.4356266666666666,0.55038
