series,species,subplot,scale,response,value,Disturbance.Frequency,Disturbance.Severity
UA04,acer negundo,x,100,cover,0.1,0.42278,0.72226
UA09,acer negundo,NW,1,p/a,1,0.42278,0.72226
UA09,acer negundo,NW,10,cover,0.1,0.42278,0.72226
UA09,acer negundo,x,100,cover,0.05,0.42278,0.72226
UA11,acer negundo,x,100,cover,0.1,0.42278,0.72226
UA12,acer negundo,SE,10,cover,0.1,0.42278,0.72226
UA12,acer negundo,x,100,cover,0.05,0.42278,0.72226
UA13,acer negundo,SE,10,cover,0.1,0.42278,0.72226
UA13,acer negundo,x,100,cover,0.05,0.42278,0.72226
UA14,acer negundo,NW,10,cover,0.2,0.42278,0.72226
UA14,acer negundo,SE,1,p/a,1,0.42278,0.72226
UA14,acer negundo,SE,10,cover,0.01,0.42278,0.72226
UA14,acer negundo,x,100,cover,0.105,0.42278,0.72226
UA02,acer tataricum,NW,10,cover,0.5,0.0286,0.69181
UA02,acer tataricum,SE,0.1,p/a,1,0.0286,0.69181
UA02,acer tataricum,SE,1,p/a,1,0.0286,0.69181
UA02,acer tataricum,SE,10,cover,0.1,0.0286,0.69181
UA02,acer tataricum,x,100,cover,0.3,0.0286,0.69181
UA15,acer tataricum,x,100,cover,0.1,0.0286,0.69181
UA03,achillea collina,SE,10,cover,1.5,1.31363,0.54139
UA03,achillea collina,x,100,cover,0.75,1.31363,0.54139
UA05,achillea collina,NW,10,cover,0.2,1.31363,0.54139
UA05,achillea collina,SE,10,cover,0.1,1.31363,0.54139
UA05,achillea collina,x,100,cover,0.15,1.31363,0.54139
UA03,achillea distans,x,100,cover,0.1,0.37175,0.53463
UA06,achillea distans,x,100,cover,0.1,0.37175,0.53463
UA07,achillea distans,NW,1,p/a,1,0.37175,0.53463
UA07,achillea distans,NW,10,cover,0.1,0.37175,0.53463
UA07,achillea distans,x,100,cover,0.05,0.37175,0.53463
UA01,achillea millefolium,NW,0.01,p/a,1,1.31363,0.54139
UA01,achillea millefolium,NW,0.1,p/a,1,1.31363,0.54139
UA01,achillea millefolium,NW,1,p/a,1,1.31363,0.54139
UA01,achillea millefolium,NW,10,cover,3,1.31363,0.54139
UA01,achillea millefolium,SE,0.001,p/a,1,1.31363,0.54139
UA01,achillea millefolium,SE,0.01,p/a,1,1.31363,0.54139
UA01,achillea millefolium,SE,0.1,p/a,1,1.31363,0.54139
UA01,achillea millefolium,SE,1,p/a,1,1.31363,0.54139
UA01,achillea millefolium,SE,10,cover,1,1.31363,0.54139
UA01,achillea millefolium,x,100,cover,2,1.31363,0.54139
UA02,achillea millefolium,NW,10,cover,0.5,1.31363,0.54139
UA02,achillea millefolium,x,100,cover,0.25,1.31363,0.54139
UA03,achillea millefolium,NW,10,cover,0.5,1.31363,0.54139
UA03,achillea millefolium,SE,0.01,p/a,1,1.31363,0.54139
UA03,achillea millefolium,SE,0.1,p/a,1,1.31363,0.54139
