dataset,layer,group,species,series,subplot,scale,response,value
1,C,B,Abietinella abietina,UA04,NW,0.0001,p/a,1
1,C,B,Abietinella abietina,UA04,NW,0.001,p/a,1
1,C,B,Abietinella abietina,UA04,NW,0.01,p/a,1
1,C,B,Abietinella abietina,UA04,NW,0.1,p/a,1
1,C,B,Abietinella abietina,UA04,NW,1,p/a,1
1,C,B,Abietinella abietina,UA04,NW,10,cover,8
1,C,B,Abietinella abietina,UA04,SE,10,cover,10
1,C,B,Abietinella abietina,UA04,x,100,cover,9
1,C,B,Abietinella abietina,UA07,NW,0.01,p/a,1
1,C,B,Abietinella abietina,UA07,NW,0.1,p/a,1
1,C,B,Abietinella abietina,UA07,NW,1,p/a,1
1,C,B,Abietinella abietina,UA07,NW,10,cover,5
1,C,B,Abietinella abietina,UA07,SE,0.001,p/a,1
1,C,B,Abietinella abietina,UA07,SE,0.01,p/a,1
1,C,B,Abietinella abietina,UA07,SE,0.1,p/a,1
1,C,B,Abietinella abietina,UA07,SE,1,p/a,1
1,C,B,Abietinella abietina,UA07,SE,10,cover,5
1,C,B,Abietinella abietina,UA07,x,100,cover,5
1,C,B,Abietinella abietina,UA08,SE,0.01,p/a,1
1,C,B,Abietinella abietina,UA08,SE,0.1,p/a,1
1,C,B,Abietinella abietina,UA08,SE,1,p/a,1
1,C,B,Abietinella abietina,UA08,SE,10,cover,3
1,C,B,Abietinella abietina,UA08,x,100,cover,1.5
1,C,B,Abietinella abietina,UA10,NW,0.01,p/a,1
1,C,B,Abietinella abietina,UA10,NW,0.1,p/a,1
1,C,B,Abietinella abietina,UA10,NW,1,p/a,1
1,C,B,Abietinella abietina,UA10,NW,10,cover,5
1,C,B,Abietinella abietina,UA10,SE,0.01,p/a,1
1,C,B,Abietinella abietina,UA10,SE,0.1,p/a,1
1,C,B,Abietinella abietina,UA10,SE,1,p/a,1
1,C,B,Abietinella abietina,UA10,SE,10,cover,7
1,C,B,Abietinella abietina,UA10,x,100,cover,6
1,C,B,Abietinella abietina,UA11,NW,0.1,p/a,1
1,C,B,Abietinella abietina,UA11,NW,1,p/a,1
1,C,B,Abietinella abietina,UA11,NW,10,cover,5
1,C,B,Abietinella abietina,UA11,SE,0.001,p/a,1
1,C,B,Abietinella abietina,UA11,SE,0.01,p/a,1
1,C,B,Abietinella abietina,UA11,SE,0.1,p/a,1
1,C,B,Abietinella abietina,UA11,SE,1,p/a,1
1,C,B,Abietinella abietina,UA11,SE,10,cover,25
1,C,B,Abietinella abietina,UA11,x,100,cover,15
1,C,B,Abietinella abietina,UA13,NW,10,cover,0.01
1,C,B,Abietinella abietina,UA13,SE,1,p/a,1
1,C,B,Abietinella abietina,UA13,SE,10,cover,2
1,C,B,Abietinella abietina,UA13,x,100,cover,1.005
1,C,B,Abietinella abietina,UA14,NW,0.0001,p/a,1
1,C,B,Abietinella abietina,UA14,NW,0.001,p/a,1
1,C,B,Abietinella abietina,UA14,NW,0.01,p/a,1
1,C,B,Abietinella abietina,UA14,NW,0.1,p/a,1
1,C,B,Abietinella abietina,UA14,NW,1,p/a,1
1,C,B,Abietinella abietina,UA14,NW,10,cover,2
1,C,B,Abietinella abietina,UA14,SE,0.0001,p/a,1
1,C,B,Abietinella abietina,UA14,SE,0.001,p/a,1
1,C,B,Abietinella abietina,UA14,SE,0.01,p/a,1
1,C,B,Abietinella abietina,UA14,SE,0.1,p/a,1
1,C,B,Abietinella abietina,UA14,SE,1,p/a,1
1,C,B,Abietinella abietina,UA14,SE,10,cover,8
1,C,B,Abietinella abietina,UA14,x,100,cover,5
1,C,B,Abietinella abietina,UA16,SE,0.1,p/a,1
1,C,B,Abietinella abietina,UA16,SE,1,p/a,1
1,C,B,Abietinella abietina,UA16,SE,10,cover,1
1,C,B,Abietinella abietina,UA16,x,100,cover,0.5
1,C,B,Abietinella abietina,UA21,NW,1,p/a,1
1,C,B,Abietinella abietina,UA21,NW,10,cover,6
1,C,B,Abietinella abietina,UA21,SE,0.1,p/a,1
1,C,B,Abietinella abietina,UA21,SE,1,p/a,1
1,C,B,Abietinella abietina,UA21,SE,10,cover,7
1,C,B,Abietinella abietina,UA21,x,100,cover,6.5
1,C,B,Amblystegium serpens,UA02,NW,10,cover,0.1
1,C,B,Amblystegium serpens,UA02,x,100,cover,0.05
1,C,B,Amblystegium serpens,UA11,NW,1,p/a,1
1,C,B,Amblystegium serpens,UA11,NW,10,cover,0.5
1,C,B,Amblystegium serpens,UA11,x,100,cover,0.25
1,C,B,Barbula convoluta,UA01,NW,10,cover,1
1,C,B,Barbula convoluta,UA01,SE,0.1,p/a,1
1,C,B,Barbula convoluta,UA01,SE,1,p/a,1
1,C,B,Barbula convoluta,UA01,SE,10,cover,3
1,C,B,Barbula convoluta,UA01,x,100,cover,2
1,C,B,Barbula convoluta,UA02,SE,10,cover,0.1
1,C,B,Barbula convoluta,UA02,x,100,cover,0.05
1,C,B,Barbula unguiculata,UA01,NW,10,cover,0.7
1,C,B,Barbula unguiculata,UA01,x,100,cover,0.35
1,C,B,Barbula unguiculata,UA02,NW,10,cover,0.2
1,C,B,Barbula unguiculata,UA02,x,100,cover,0.1
1,C,B,Barbula unguiculata,UA13,SE,1,p/a,1
1,C,B,Barbula unguiculata,UA13,SE,10,cover,0.01
1,C,B,Barbula unguiculata,UA13,x,100,cover,0.005
1,C,B,Barbula unguiculata,UA14,NW,0.01,p/a,1
1,C,B,Barbula unguiculata,UA14,NW,0.1,p/a,1
1,C,B,Barbula unguiculata,UA14,NW,1,p/a,1
1,C,B,Barbula unguiculata,UA14,NW,10,cover,1
1,C,B,Barbula unguiculata,UA14,SE,0.01,p/a,1
1,C,B,Barbula unguiculata,UA14,SE,0.1,p/a,1
1,C,B,Barbula unguiculata,UA14,SE,1,p/a,1
1,C,B,Barbula unguiculata,UA14,SE,10,cover,1
1,C,B,Barbula unguiculata,UA14,x,100,cover,1
1,C,B,Barbula unguiculata,UA19,SE,10,cover,1
1,C,B,Barbula unguiculata,UA19,x,100,cover,0.5
1,C,B,Brachythecium albicans,UA02,SE,1,p/a,1
1,C,B,Brachythecium albicans,UA02,SE,10,cover,0.2
1,C,B,Brachythecium albicans,UA02,x,100,cover,0.1
1,C,B,Brachythecium albicans,UA04,NW,0.1,p/a,1
1,C,B,Brachythecium albicans,UA04,NW,1,p/a,1
1,C,B,Brachythecium albicans,UA04,NW,10,cover,1
1,C,B,Brachythecium albicans,UA04,SE,0.0001,p/a,1
1,C,B,Brachythecium albicans,UA04,SE,0.001,p/a,1
1,C,B,Brachythecium albicans,UA04,SE,0.01,p/a,1
1,C,B,Brachythecium albicans,UA04,SE,0.1,p/a,1
1,C,B,Brachythecium albicans,UA04,SE,1,p/a,1
1,C,B,Brachythecium albicans,UA04,SE,10,cover,2
1,C,B,Brachythecium albicans,UA04,x,100,cover,1.5
1,C,B,Brachythecium albicans,UA08,SE,10,cover,0.5
1,C,B,Brachythecium albicans,UA08,x,100,cover,0.25
