species,series,subplot,scale,response,value,naturalisation_level,introduction_time,category
Acer negundo,UA04,x,100,cover,0.1,invasive,neophyte,non_native
Acer negundo,UA09,NW,1,p/a,1,invasive,neophyte,non_native
Acer negundo,UA09,NW,10,cover,0.1,invasive,neophyte,non_native
Acer negundo,UA09,x,100,cover,0.05,invasive,neophyte,non_native
Acer negundo,UA11,x,100,cover,0.1,invasive,neophyte,non_native
Acer negundo,UA12,SE,10,cover,0.1,invasive,neophyte,non_native
Acer negundo,UA12,x,100,cover,0.05,invasive,neophyte,non_native
Acer negundo,UA13,SE,10,cover,0.1,invasive,neophyte,non_native
Acer negundo,UA13,x,100,cover,0.05,invasive,neophyte,non_native
Acer negundo,UA14,NW,10,cover,0.2,invasive,neophyte,non_native
Acer negundo,UA14,SE,1,p/a,1,invasive,neophyte,non_native
Acer negundo,UA14,SE,10,cover,0.01,invasive,neophyte,non_native
Acer negundo,UA14,x,100,cover,0.105,invasive,neophyte,non_native
Acer tataricum,UA02,NW,10,cover,0.5,NA,NA,native
Acer tataricum,UA02,SE,0.1,p/a,1,NA,NA,native
Acer tataricum,UA02,SE,1,p/a,1,NA,NA,native
Acer tataricum,UA02,SE,10,cover,0.1,NA,NA,native
Acer tataricum,UA02,x,100,cover,0.3,NA,NA,native
Acer tataricum,UA15,x,100,cover,0.1,NA,NA,native
Achillea collina,UA03,SE,10,cover,1.5,NA,NA,native
Achillea collina,UA03,x,100,cover,0.75,NA,NA,native
Achillea collina,UA05,NW,10,cover,0.2,NA,NA,native
Achillea collina,UA05,SE,10,cover,0.1,NA,NA,native
Achillea collina,UA05,x,100,cover,0.15,NA,NA,native
Achillea distans,UA03,x,100,cover,0.1,NA,NA,native
Achillea distans,UA06,x,100,cover,0.1,NA,NA,native
Achillea distans,UA07,NW,1,p/a,1,NA,NA,native
Achillea distans,UA07,NW,10,cover,0.1,NA,NA,native
Achillea distans,UA07,x,100,cover,0.05,NA,NA,native
Achillea millefolium,UA01,NW,0.01,p/a,1,NA,NA,native
Achillea millefolium,UA01,NW,0.1,p/a,1,NA,NA,native
Achillea millefolium,UA01,NW,1,p/a,1,NA,NA,native
