series,species,subplot,scale,response,value
UA04,acer negundo,x,100,cover,0.1
UA09,acer negundo,NW,1,p/a,1
UA09,acer negundo,NW,10,cover,0.1
UA09,acer negundo,x,100,cover,0.05
UA11,acer negundo,x,100,cover,0.1
UA12,acer negundo,SE,10,cover,0.1
UA12,acer negundo,x,100,cover,0.05
UA13,acer negundo,SE,10,cover,0.1
UA13,acer negundo,x,100,cover,0.05
UA14,acer negundo,NW,10,cover,0.2
UA14,acer negundo,SE,1,p/a,1
UA14,acer negundo,SE,10,cover,0.01
UA14,acer negundo,x,100,cover,0.105
UA02,acer tataricum,NW,10,cover,0.5
UA02,acer tataricum,SE,0.1,p/a,1
UA02,acer tataricum,SE,1,p/a,1
UA02,acer tataricum,SE,10,cover,0.1
UA02,acer tataricum,x,100,cover,0.3
UA15,acer tataricum,x,100,cover,0.1
UA03,achillea collina,SE,10,cover,1.5
UA03,achillea collina,x,100,cover,0.75
UA05,achillea collina,NW,10,cover,0.2
UA05,achillea collina,SE,10,cover,0.1
UA05,achillea collina,x,100,cover,0.15
UA03,achillea distans,x,100,cover,0.1
UA06,achillea distans,x,100,cover,0.1
UA07,achillea distans,NW,1,p/a,1
UA07,achillea distans,NW,10,cover,0.1
UA07,achillea distans,x,100,cover,0.05
UA01,achillea millefolium,NW,0.01,p/a,1
UA01,achillea millefolium,NW,0.1,p/a,1
UA01,achillea millefolium,NW,1,p/a,1
UA01,achillea millefolium,NW,10,cover,3
UA01,achillea millefolium,SE,0.001,p/a,1
UA01,achillea millefolium,SE,0.01,p/a,1
UA01,achillea millefolium,SE,0.1,p/a,1
UA01,achillea millefolium,SE,1,p/a,1
UA01,achillea millefolium,SE,10,cover,1
UA01,achillea millefolium,x,100,cover,2
UA02,achillea millefolium,NW,10,cover,0.5
UA02,achillea millefolium,x,100,cover,0.25
UA03,achillea millefolium,NW,10,cover,0.5
UA03,achillea millefolium,SE,0.01,p/a,1
UA03,achillea millefolium,SE,0.1,p/a,1
UA03,achillea millefolium,SE,1,p/a,1
UA03,achillea millefolium,SE,10,cover,3
UA03,achillea millefolium,x,100,cover,1.75
UA04,achillea millefolium,x,100,cover,0.1
UA06,achillea millefolium,NW,10,cover,0.5
UA06,achillea millefolium,SE,10,cover,1
UA06,achillea millefolium,x,100,cover,0.75
UA08,achillea millefolium,NW,1,p/a,1
UA08,achillea millefolium,NW,10,cover,0.5
UA08,achillea millefolium,x,100,cover,0.25
UA13,achillea millefolium,SE,1,p/a,1
UA13,achillea millefolium,SE,10,cover,0.5
UA13,achillea millefolium,x,100,cover,0.25
UA14,achillea millefolium,NW,1e-4,p/a,1
UA14,achillea millefolium,NW,0.001,p/a,1
UA14,achillea millefolium,NW,0.01,p/a,1
UA14,achillea millefolium,NW,0.1,p/a,1
UA14,achillea millefolium,NW,1,p/a,1
UA14,achillea millefolium,NW,10,cover,8
UA14,achillea millefolium,SE,0.01,p/a,1
UA14,achillea millefolium,SE,0.1,p/a,1
UA14,achillea millefolium,SE,1,p/a,1
UA14,achillea millefolium,SE,10,cover,4
UA14,achillea millefolium,x,100,cover,6
UA15,achillea millefolium,NW,0.1,p/a,1
UA15,achillea millefolium,NW,1,p/a,1
UA15,achillea millefolium,NW,10,cover,5
UA15,achillea millefolium,x,100,cover,2.5
UA16,achillea millefolium,NW,0.1,p/a,1
UA16,achillea millefolium,NW,1,p/a,1
UA16,achillea millefolium,NW,10,cover,4
UA16,achillea millefolium,x,100,cover,2
UA17,achillea millefolium,NW,10,cover,0.2
UA17,achillea millefolium,x,100,cover,0.1
UA20,achillea millefolium,NW,0.01,p/a,1
UA20,achillea millefolium,NW,0.1,p/a,1
