dataset,plotID,series,subplot,protocol,authors,entered_by,date,lat,lon,precision,corner,deviation,altitude,aspect,inclination,heat_index,microrelief,depht1,depht2,depht3,depht4,depht5,depth_mean,deph_SD,cover_total,cover_shrubs,cover_herbs,cover_moss,cover_dead_wood,cover_litter,cover_stones,cover_gravel,cover_soil,height_shrub_max,height_shrub_mean,height_herb1,height_herb2,height_herb3,height_herb4,height_herb5,height_herb_mean,height_herb_SD,height_herb_max,relief,habitat_group_old,burning,grazing,mowing,ploughing,abandonment,encroachment,grazing_intencity,land use details,weight_total,weight_skeleton,skeleton,texture,texture_code,sand,silt,clay,pH,pH_sal,conductivity,CaCO3,C/N,C_percent,N_percent,C,N,Corg,Corg_percent,Corg/Norg,humus,hydrolytic_acidity,N_mg_100g,N_mg_kg,CO2,cover_total_sum,cover_shrubs_sum,cover_herbs_sum,cover_moss_sum,economic_use,c_org_dat,silt_dat,clay_dat,pH_dat,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,built_up_2km,build_up_5km,cover_shrub_total,vegetation,habitat_broad,syntaxon,eunis,eunis_group,zonality,habitat_group,roads,footprint_values
8,NFD21_20NE,NFD21_20,NE,"Vasheniak, Tokaruk",NA,"OCh, OK",01.08.2021,48.121647,24.539836,4,NE,0,1773,0,26,-0.344879021,NA,8,40,5,0,12,13,15.71623365,80,0,80,10,0,20,10,2,88,0,0,16,16,14,12,3,12.2,5.403702434,8,middle slope,alpine,0,0,0,0,0,NA,0,Recreation,148.2,27.3,18.42105263,loam,NA,49.5,39.6,10.9,4.24,NA,161.3,2.4946,NA,2.624,NA,2.186666667,NA,1.128,1.3536,NA,NA,NA,NA,NA,NA,88.221,0,87.221,1,0,103,35,14,54,5,75,261,7627,152,-137,289,102,-98,104,-99,1508,209,78,34,605,244,506,259,0,0.036343161,5.121,NA,alpine,NA,R41,R4,zonal,alpine,0,12
8,NFD21_20SW,NFD21_20,SW,Kuzemko Kish,NA,"OCh, OK",01.08.2021,48.121595,24.539724,1.3,SE,0,1774.4,0,40,-0.593333039,12,13,0.5,0,6,7,5.3,5.333854141,80,0,60,20,0,50,10,5,85,0,0,12,11,10,3,8,8.8,3.563705936,53,middle slope,alpine,0,0,0,0,0,NA,0,Recreation,109.2,28.7,26.28205128,loam,NA,48,42,10,4.31,NA,142.2,2.5968,NA,2.494,NA,2.078333333,NA,0.936,1.1232,NA,NA,NA,NA,NA,NA,50.765,0,50.765,0,0,103,35,14,54,5,75,261,7627,152,-137,289,102,-98,104,-99,1508,209,78,34,605,244,506,259,0,0.035458819,1.1,NA,alpine,NA,R41,R4,zonal,alpine,0,12
8,NFD21_26NW,NFD21_26,NW,"Vasheniak, Tokaruk",NA,"OCh, OK",03.08.2021,48.265628,24.203616,"3,9",NW,0,1719,215,5,0.086159514,12,44,50,42,26,33,39,9.486832981,100,0,60,60,0,80,0,0,100,0,0,4,6,9,5,2,5.2,2.588435821,75,upper slope,alpine,0,1,0,0,0,NA,1,Recreation,NA,15.1,15.31440162,silty loam,NA,13,71.1,15.9,3.81,NA,180.1,1.27,NA,4.398,NA,3.665,NA,3.636,4.3632,NA,NA,NA,NA,NA,NA,46.6,0,46.6,0,0,85,42,13,55,9,76,263,7613,156,-133,289,106,-94,108,-95,1426,185,77,30,537,239,478,262,0.001921845,0.123493361,2.5,NA,alpine,NA,R41,R4,zonal,alpine,31,12
8,NFD21_26SE,NFD21_26,SE,Kuzemko Kish,NA,"OCh, OK",03.08.2021,48.265523,24.203749,0.9,SE,0,1714,115,9,-0.054170669,11,41,44,41,50,41,43.4,3.911521443,98,0,65,60,0,40,0,0,100,0,0,2.5,2,6.5,5,5,4.2,1.89076704,41,upper slope,alpine,0,1,0,0,0,NA,1,NA,98.6,15.1,15.31440162,silty loam,NA,13,71.1,15.9,3.81,NA,180.1,1.27,NA,4.398,NA,3.665,NA,3.636,4.3632,NA,NA,NA,NA,NA,NA,47.61,0,47.11,0.5,0,85,42,13,55,9,76,263,7613,156,-133,289,106,-94,108,-95,1426,185,77,30,537,239,478,262,0.001921845,0.123480748,1,NA,alpine,NA,R41,R4,zonal,alpine,31,12
8,NFD21_28NW,NFD21_28,NW,Kucher Chornei,NA,"OCh, OK",03.08.2021,48.237016,24.229519,12,NW,0,1638.4,NA,16,NA,2,27,13,47,22,34,28.6,12.81795616,90,0,85,75,0,10,0,0,100,0,0,15,16,14,11,12,13.6,2.073644135,57,middle slope,alpine,0,0,0,0,0,NA,0,NA,162.5,44.6,27.44615385,silty loam,NA,11,73.6,15.4,4.43,NA,225,1.6338,NA,4.304,NA,3.586666667,NA,3.324,3.9888,NA,NA,NA,NA,NA,NA,168.7,0,93.7,75,0,82,43,12,52,9,76,263,7616,156,-133,289,106,-94,108,-95,1397,189,74,33,545,232,482,250,0.707829408,0.118984231,3.5,NA,alpine,NA,R41,R4,zonal,alpine,8,12
8,NFD21_28SE,NFD21_28,SE,"Budzhak, Chusova",NA,"OCh, OK",03.08.2021,48.236958,24.229513,0.1,SE,0,1638,NA,15,NA,NA,14,23,28,36,26,25.4,7.987490219,95,0,90,70,0,90,0,0,100,0,0,16,9,14,14,13,13.2,2.588435821,39,middle slope,alpine,0,0,0,0,0,NA,0,Recreation,142.5,25.4,17.8245614,silt,NA,9,85.6,5.4,4.59,NA,344,2.1587,NA,7.631,NA,6.359166667,NA,6.336,7.6032,NA,NA,NA,NA,NA,NA,189.51,0,109.51,80,0,82,43,12,52,9,76,263,7616,156,-133,289,106,-94,108,-95,1397,189,74,33,545,232,482,250,0.707379135,0.118959869,0.01,NA,alpine,NA,R41,R4,zonal,alpine,8,12
8,NFD21_33NW,NFD21_33,NW,Budzhak Chusova,NA,"OCh, OK",04.08.2021,48.224267,24.231072,1.1,NW,0,1805,47,30,-0.576998563,10,19,10,10,14,7,12,4.636809248,60,0,60,6,0,2,30,30,40,0,0,7,5,6,7,8,6.6,1.140175425,44,upper slope,alpine,0,0,0,0,0,NA,0,Recreation,202.6,56.1,27.69002962,silty loam,NA,18,68.4,13.6,4.13,NA,177.7,1.8357,NA,4.317,NA,3.5975,NA,3.216,3.8592,NA,NA,NA,NA,NA,NA,82,0,82,0,0,86,40,11,55,3,76,264,7583,150,-138,289,100,-100,102,-101,1478,197,79,31,569,247,492,268,0,0.119337356,22,NA,alpine,NA,R41,R4,zonal,alpine,8,12
8,NFD21_33SE,NFD21_33,SE,Kucher Chornei,NA,"OCh, OK",04.08.2021,48.224149,24.231183,0.3,SE,0,1802,90,22,-0.285689684,NA,15,5,9,10,9,9.6,3.577708764,80,0,80,15,0,30,10,5,85,0,0,8,10,6,8,7,7.8,1.483239697,42,upper slope,alpine,0,0,0,0,0,NA,0,Recreation,91.9,29.5,32.10010881,silty loam,NA,20,66.6,13.4,4.11,NA,115.1,1.529,NA,4.445,NA,3.704166667,NA,3.528,4.2336,NA,NA,NA,NA,NA,NA,96.111,0,96.111,0,0,96,42,12,56,3,76,264,7583,150,-138,289,100,-100,102,-101,1478,197,79,31,569,247,492,268,0,0.119471744,18.001,NA,alpine,NA,R41,R4,zonal,alpine,8,12
8,NFD21_21NE,NFD21_21,NE,"Budzhak, Chusova",NA,"OCh, OK",01.08.2021,48.122047,24.53407,0.2,NE,0,1798.6,124,30,-0.110163625,16,39,33,21,41,47,36.2,9.859006035,80,0,80,90,0,0,10,0,90,0,0,10,23,12,11,31,17.4,9.235799911,NA,middle slope,alpine,0,0,0,0,0,NA,0,Recreation,0,NA,NA,silt,NA,10,85.5,4.5,4.25,NA,180,2.8134,NA,9.608,NA,8.006666667,NA,7.92,9.504,NA,NA,NA,NA,NA,NA,158.005,0,107.005,51,1,90,41,11,55,5,75,261,7627,152,-137,289,102,-98,104,-99,1508,209,78,34,605,244,506,259,0,0.035469692,55,NA,alpine,NA,R43,R4,zonal,alpine,0,12
8,NFD21_21SW,NFD21_21,SW,"Kucher, Chorney",NA,"OCh, OK",01.08.2021,48.12202,24.53394,3,SW,0,1798,135,40,5.14e-17,NA,35,19,39,22,32,29.4,8.561541917,85,0,85,30,0,0,5,0,95,0,0,NA,NA,NA,NA,NA,NA,NA,20,middle slope,alpine,0,0,0,0,0,NA,0,Recreation,100.2,15.2,15.16966068,silt,NA,10.5,85,4.5,4.15,NA,182,2.6089,NA,8.549,NA,7.124166667,NA,6.984,8.3808,NA,NA,NA,NA,NA,NA,147,0,117,30,1,90,41,11,55,5,75,261,7627,152,-137,289,102,-98,104,-99,1508,209,78,34,605,244,506,259,0,0.035462443,36,NA,alpine,NA,R43,R4,zonal,alpine,0,12
8,NFD21_24NW,NFD21_24,NW,"Chusova, Budzhak",NA,"OCh, OK",03.08.2021,48.235788,24.231134,"1,9",NW,0,1674,320,8,-0.012248941,NA,6,15,14,6,7,9.6,4.50555213,85,0,85,2,0,90,5,1,94,0,0,11,17,11,11,14,12.8,2.683281573,30,middle slope,alpine,0,0,0,0,0,NA,0,Recreation,NA,63.2,34.85934915,silty loam,NA,12.5,70.3,17.2,5.26,NA,218,1.8244,NA,2.978,NA,2.481666667,NA,1.884,2.2608,NA,NA,NA,NA,NA,NA,92.515,0,92.515,0,1,92,43,13,55,9,76,263,7616,156,-133,289,106,-94,108,-95,1397,189,74,33,545,232,482,250,0.708280255,0.118833163,23.5,NA,alpine,NA,R43,R4,zonal,alpine,8,12
8,NFD21_24SE,NFD21_24,SE,Kucher Chornei,NA,"OCh, OK",03.08.2021,48.235649,24.231236,1.2,SE,0,1685.6,NA,10,NA,6,4,13,11,25,33,17.2,11.62755348,75,0,70,25,0,10,5,1,94,0,0,12,17,11,15,10,13,2.915475947,75,upper slope,alpine,0,0,0,0,0,NA,0,Recreation,181.3,63.2,34.85934915,silty loam,NA,12.5,70.3,17.2,5.26,NA,218,1.8244,NA,2.978,NA,2.481666667,NA,1.884,2.2608,NA,NA,NA,NA,NA,NA,93.52,0,91.12,2.4,1,93,42,13,52,9,76,263,7616,156,-133,289,106,-94,108,-95,1397,189,74,33,545,232,482,250,0.708280255,0.118821001,25.01,NA,alpine,NA,R43,R4,zonal,alpine,8,12
8,NFD21_27NW,NFD21_27,NW,"Budzhak, Chusova",NA,"OCh, OK",03.08.2021,48.232772,24.229663,0,NW,0,1805.2,0,0,0,NA,36,41,27,21,38,32.6,8.324662155,95,0,80,20,0,80,0,0,100,0,0,22,13,6,17,15,14.6,5.856620186,47,top,alpine,0,0,0,0,1,NA,0,NA,139.5,20.9,14.98207885,silty loam,NA,10.5,70.4,19.1,3.8,NA,243,1.6858,NA,5.127,NA,4.2725,NA,4.116,4.9392,NA,NA,NA,NA,NA,NA,115.12,0,90,25.12,1,97,43,12,55,4,76,264,7589,151,-138,289,101,-99,103,-100,1459,197,77,32,569,241,496,261,0.538216561,0.119664244,2,NA,alpine,NA,R43,R4,zonal,alpine,8,12
8,NFD21_27SE,NFD21_27,SE,Kucher Chornei,NA,"OCh, OK",03.08.2021,48.232266,24.229522,1,SE,0,1745.2,0,0,0,4,32,29,26,24,21,26.4,4.277849927,100,0,90,15,0,80,0,0,100,0,0,7,17,25,13,22,16.8,7.155417528,68,top,alpine,0,0,0,0,1,NA,0,NA,151.4,25.8,17.04095112,silty loam,NA,11.8,70.1,18.1,3.99,NA,292,1.8385,NA,5.891,NA,4.909166667,NA,4.788,5.7456,NA,NA,NA,NA,NA,NA,94.6,0,94.6,0,1,98,42,11,55,4,76,264,7589,151,-138,289,101,-99,103,-100,1459,197,77,32,569,241,496,261,0.515384615,0.119358791,1.1,NA,alpine,NA,R43,R4,zonal,alpine,8,12
8,NFD21_30NW,NFD21_30,NW,"Budzhak, Chusova",NA,"OCh, OK",04.08.2021,48.225048,24.230377,0.1,NW,0,1785.6,333,6,-0.032478995,23,60,65,24,22,27,39.6,21.05469069,100,0,95,60,0,90,1,0,99,0,0,13,16,16,15,19,15.8,2.167948339,82,upper slope,alpine,0,0,0,0,0,NA,0,Recreation,109.8,8.7,7.923497268,silty loam,NA,4,78.3,17.7,4.34,NA,248,1.6656,NA,5.103,NA,4.2525,NA,4.104,4.9248,NA,NA,NA,NA,NA,NA,114.001,0,94.001,20,1,86,40,11,55,4,76,264,7589,151,-138,289,101,-99,103,-100,1459,197,77,32,569,241,496,261,0.002544529,0.119483977,22,NA,alpine,NA,R43,R4,zonal,alpine,8,12
8,NFD21_30SE,NFD21_30,SE,Kucher Chornei,NA,"OCh, OK",04.08.2021,48.224942,24.230508,0.1,SE,0,1795,NA,20,-0.257365821,30,70,17,44,46,40,43.4,18.86266153,90,0,90,40,0,20,0,0,100,0,0,22,19,26,26,13,21.2,5.449770637,76,upper slope,alpine,0,0,0,0,0,NA,0,Recreation,121,30.2,24.95867769,silt,NA,5.5,86.8,7.7,4.05,NA,189.3,1.8838,NA,4.238,NA,3.531666667,NA,3.108,3.7296,NA,NA,NA,NA,NA,NA,138.1,0,107.1,31,1,86,40,11,55,4,76,264,7589,151,-138,289,101,-99,103,-100,1459,197,77,32,569,241,496,261,0,0.119166752,26,NA,alpine,NA,R43,R4,zonal,alpine,8,12
7,NFD21_11NE,NFD21_11,NE,??,"??, VB",VB,02.07.2021,47.80454,24.89699,1,NE,0,1554,53,35,-0.693393167,12,8.5,4,6,8,9.5,7.2,1.76,80,0,60,30,0,10,15,10,75,0,NA,5.5,2,2.5,5,8,4.6,2.434132289,36,upper slope,alpine,0,0,0,0,1,0,0,NA,201.6,128.7,63.83928571,loam,NA,46.5,44.9,8.6,6.43,NA,326,6.9404,NA,7.206,NA,6.005,NA,3.024,3.6288,NA,NA,NA,NA,NA,NA,102.44,0,72.94,29.5,1,90,39,16,52,18,75,258,7736,166,-126,291,117,-86,119,-88,1185,177,55,43,513,173,448,176,0,0.001739664,2.1,NA,alpine,Elyno-Seslerietea,R44,R4,zonal,alpine,0,8
7,NFD21_11SW,NFD21_11,SW,??,ICh,VB,02.07.2021,47.80443,24.8969,1,SW,0,1561,67,26,-0.452217781,15.5,4.5,5.5,14,0,12.5,7.3,4.76,60,2,40,20,0,10,5,40,55,0,NA,2.5,1,0,5,2,2.1,1.884144368,34,upper slope,alpine,0,0,0,0,1,0,0,NA,213.8,122.4,57.24976614,loam,NA,45,45.5,9.5,6.48,NA,310,6.1912,NA,6.57,NA,5.475,NA,2.856,3.4272,NA,NA,NA,NA,NA,NA,62.99,0,57.54,5.45,1,90,39,16,52,18,75,258,7736,166,-126,291,117,-86,119,-88,1185,177,55,43,513,173,448,176,0,0.001736466,2.1,NA,alpine,Elyno-Seslerietea,R44,R4,zonal,alpine,0,8
7,NFD21_12NW,NFD21_12,NW,??,OYa,VB,02.07.2021,47.804159,24.89631,2,NW,0,1569,NA,15,NA,9,18,20,27,25,21,22.2,3.04,95,0,95,0,0,25,0,0,100,0,NA,15,13,13,16,12,13.8,1.643167673,44,upper slope,alpine,0,1,0,0,0,0,2,NA,120.7,50,41.42502071,silty loam,NA,28,62,10,7.2,NA,329,1.3404,NA,4.488,NA,3.74,NA,3.684,4.4208,NA,NA,NA,NA,NA,NA,86.86,0,84.85,2.01,1,90,39,16,52,18,75,258,7736,166,-126,291,117,-86,119,-88,1185,177,55,43,513,173,448,176,0,0.001737531,7.5,NA,alpine,Elyno-Seslerietea,R44,R4,zonal,alpine,0,12
7,NFD21_12SE,NFD21_12,SE,??h,"??, ??",VB,02.07.2021,47.80406,24.896495,0.2,SE,0,1566,262,12,0.169755218,11,20,30,26,26,18,24,4,97,0,95,15,0,80,0,0,100,0,NA,23,22,15,20,14,18.8,4.086563348,61,upper slope,alpine,0,1,0,0,0,0,2,NA,118.4,41.3,34.88175676,silty loam,NA,29,64.2,6.8,7.13,NA,315,1.3427,NA,4.441,NA,3.700833333,NA,3.636,4.3632,NA,NA,NA,NA,NA,NA,103.72,0,101.22,2.5,1,90,39,16,52,18,75,258,7736,166,-126,291,117,-86,119,-88,1185,177,55,43,513,173,448,176,0,0.001738419,0.5,NA,alpine,Elyno-Seslerietea,R44,R4,zonal,alpine,0,12
8,NFD21_31NW,NFD21_31,NW,Kuzemko Kish,NA,"OCh, OK",04.08.2021,48.228893,24.233299,1.6,NW,0,1635,130,42,-0.078475383,15,33,45,13,21,27,27.8,12.13260071,90,0,90,1,0,15,5,5,90,0,0,17,13,16,8,24,15.6,5.856620186,77,middle slope,alpine,0,0,0,0,0,NA,0,Recreation,212.4,79,37.19397363,silty loam,NA,39,51.9,9.1,4.99,NA,126.4,1.8812,NA,4.296,NA,3.58,NA,3.168,3.8016,NA,NA,NA,NA,NA,NA,91.1,0,90.5,0.6,1,99,43,11,55,11,76,263,7631,159,-131,290,109,-92,111,-93,1367,185,71,33,533,225,472,241,0.08859146,0.11935715,10,NA,alpine,NA,R44,R4,zonal,alpine,8,12
8,NFD21_31SE,NFD21_31,SE,"Vasheniak, Tokaruk",NA,"OCh, OK",04.08.2021,48.228817,24.233406,3.9,SE,0,1611,214,21,0.376811372,17,36,17,0,11,28,18.4,14.11736519,90,0,90,0.5,0,70,5,0,95,0,0,25,13,22,30,9,19.8,8.642916175,101,middle slope,alpine,0,0,0,0,0,NA,0,Recreation,195.2,70.8,36.2704918,silty loam,NA,40,50.5,9.5,5.04,NA,161.3,1.6656,NA,3.747,NA,3.1225,NA,2.748,3.2976,NA,NA,NA,NA,NA,NA,93.771,0,86.171,7.6,1,105,41,12,55,11,76,263,7631,159,-131,290,109,-92,111,-93,1367,185,71,33,533,225,472,241,0.088647959,0.11924729,1.01,NA,alpine,NA,R44,R4,zonal,alpine,8,12
7,NFD21_01NW,NFD21_01,NW,IK,AK,VB,26.06.2021,48.876309,29.066709,0.6,NW,0,182,342,40,-0.380943261,11,NA,NA,NA,NA,NA,NA,NA,100,0,99,20,0,90,0,0,100,2,NA,38,34,37,54,32,39,8.717797887,145,middle slope,meso-xeric,0,0,0,0,1,0,0,NA,120.8,57.6,47.68211921,sandy loam,NA,55.5,35,9.5,6.86,NA,213,2.2765,NA,3.489,NA,2.9075,NA,2.124,2.5488,NA,NA,NA,NA,NA,NA,118.01,0,97.01,21,1,28,39,23,65,87,75,240,8703,252,-60,312,200,5,200,-28,546,80,29,36,236,92,192,102,7.808917197,3.226374526,3,NA,fringe,Trifolio-Geranietea,R51,R5,azonal,fringe,527,27
