taxon_tpl,taxon_euromed,introduction_time,origin,naturalisation_level,naturalisation_category
Acer negundo,Acer negundo,neophyte,NrAm,invasive,hemiepoecophyte
Ailanthus altissima,Ailanthus altissima,neophyte,As,invasive,hemiepoecophyte
Amaranthus retroflexus,Amaranthus retroflexus,neophyte,NrAm,invasive,epoecophyte
Ambrosia artemisiifolia,Ambrosia artemisiifolia,neophyte,NrAm,invasive,hemiepoecophyte
Anagallis arvensis,Anagallis arvensis,archaeophyte,As,naturalised,epoecophyte
Anchusa officinalis,Anchusa officinalis,archaeophyte,Med,naturalised,epoecophyte
Anchusa stylosa,Anchusa stylosa,archaeophyte,Med-IT,naturalised,epoecophyte
Apera spica-venti,Apera spica-venti subsp. maritima,archaeophyte,unknown,naturalised,epoecophyte
Artemisia absinthium,Artemisia absinthium,archaeophyte,IT,naturalised,epoecophyte
Asclepias syriaca,Asclepias syriaca,neophyte,NrAm,invasive,epoecophyte
Atriplex tatarica,Atriplex tatarica,archaeophyte,Med-IT,naturalised,epoecophyte
Bromus sterilis,Anisantha sterilis,archaeophyte,Med-IT,invasive,hemiepoecophyte
Bromus tectorum,Anisantha tectorum,archaeophyte,Med-IT,invasive,hemiepoecophyte
Buglossoides arvensis,Buglossoides arvensis,archaeophyte,Med-IT,naturalised,epoecophyte
Camelina microcarpa,Camelina microcarpa,archaeophyte,Med-IT,naturalised,epoecophyte
Capsella bursa-pastoris,Capsella bursa-pastoris,archaeophyte,unknown,naturalised,hemiepoecophyte
Carduus acanthoides,Carduus acanthoides,archaeophyte,Med,naturalised,epoecophyte
Carduus nutans,Carduus nutans,archaeophyte,Med,naturalised,epoecophyte
Centaurea diffusa,Centaurea diffusa,neophyte,Med-IT,invasive,hemiepoecophyte
Cichorium intybus,Cichorium intybus,archaeophyte,Med-IT,naturalised,hemiepoecophyte
Conium maculatum,Conium maculatum,archaeophyte,Med-IT,naturalised,epoecophyte
Consolida regalis,Consolida regalis,archaeophyte,Med-IT,naturalised,epoecophyte
Cynoglossum officinale,Cynoglossum officinale,archaeophyte,Med,naturalised,epoecophyte
Descurainia sophia,Descurainia sophia,archaeophyte,IT,naturalised,epoecophyte
Dianthus barbatus,Dianthus barbatus,neophyte,Eu,casual,ergasiophigophyte
Digitaria ischaemum,Digitaria ischaemum,archaeophyte,Eu,naturalised,hemiepoecophyte
Elaeagnus angustifolia,Elaeagnus angustifolia,neophyte,Med,invasive,agriophyte
Eragrostis minor,Eragrostis minor,archaeophyte,Eu,naturalised,epoecophyte
Eragrostis pilosa,Eragrostis pilosa,archaeophyte,Med-As,naturalised,ephemerophyte
Erigeron annuus,Erigeron annuus,neophyte,NrAm,invasive,hemiepoecophyte
Erigeron canadensis,Erigeron canadensis,neophyte,NrAm,invasive,hemiepoecophyte
Erysimum repandum,Erysimum repandum,archaeophyte,IT,naturalised,epoecophyte
Fallopia convolvulus,Fallopia convolvulus,archaeophyte,unknown,naturalised,epoecophyte
Galium spurium,Galium spurium,archaeophyte,Med-IT,naturalised,epoecophyte
Geranium pusillum,Geranium pusillum,archaeophyte,IT,naturalised,epoecophyte
Geranium sibiricum,Geranium sibiricum,neophyte,As,naturalised,epoecophyte
Grindelia squarrosa,Grindelia squarrosa,neophyte,NrAm,invasive,hemiepoecophyte
Hordeum murinum,Hordeum murinum,archaeophyte,Med-IT,naturalised,epoecophyte
Isatis tinctoria,Isatis tinctoria,archaeophyte,Eu-Med-IT,naturalised,epoecophyte
Juglans regia,Juglans regia,neophyte,As,casual,ergasiophigophyte
Juncus tenuis,Juncus tenuis,neophyte,NrAm,naturalised,hemiepoecophyte
Lactuca serriola,Lactuca serriola,archaeophyte,Med-IT,naturalised,epoecophyte
Lamium amplexicaule,Lamium amplexicaule var. amplexicaule,archaeophyte,Med-IT,naturalised,epoecophyte
Lappula squarrosa,Lappula squarrosa,archaeophyte,Med-IT,naturalised,epoecophyte
Lathyrus tuberosus,Lathyrus tuberosus,archaeophyte,IT,naturalised,hemiepoecophyte
Lepidium campestre,Lepidium campestre,archaeophyte,Med,naturalised,epoecophyte
Lepidium draba,Lepidium draba,archaeophyte,Eu-Med,naturalised,epoecophyte
Lepidium perfoliatum,Lepidium perfoliatum,archaeophyte,Med-IT,naturalised,epoecophyte
Lepidium ruderale,Lepidium ruderale,archaeophyte,IT,naturalised,epoecophyte
Malus pumila,Malus pumila,neophyte,unknown,casual,ergasiophigophyte
Medicago sativa,Medicago sativa nothosubsp. varia,neophyte,Med-As,naturalised,epoecophyte
Nigella arvensis,Nigella arvensis,archaeophyte,Med,naturalised,epoecophyte
Oenothera biennis,Oenothera rubricaulis,neophyte,NrAm,naturalised,epoecophyte
Onobrychis viciifolia,Onobrychis viciifolia,neophyte,Eu,casual,ephemerophyte
Onopordum acanthium,Onopordum acanthium,archaeophyte,Med-IT,naturalised,epoecophyte
Papaver dubium,Papaver dubium,archaeophyte,Med-IT,naturalised,epoecophyte
Papaver rhoeas,Papaver rhoeas,archaeophyte,Med-IT,naturalised,epoecophyte
Peganum harmala,Peganum harmala,archaeophyte,Med-IT,naturalised,epoecophyte
Portulaca oleracea,Portulaca oleracea,archaeophyte,IT,naturalised,epoecophyte
Prunus armeniaca,Prunus armeniaca,neophyte,As,casual,ephemerophyte
Prunus cerasifera,Prunus cerasifera,neophyte,Med,naturalised,ergasiophigophyte
Prunus cerasus,Prunus cerasus,neophyte,Med,naturalised,ergasiophigophyte
Rapistrum perenne,Rapistrum perenne,archaeophyte,Med,naturalised,epoecophyte
Reseda lutea,Reseda lutea,archaeophyte,Med,naturalised,epoecophyte
Reseda luteola,Reseda luteola,archaeophyte,Med-IT,naturalised,epoecophyte
Setaria viridis,Setaria viridis,archaeophyte,Med-IT,naturalised,epoecophyte
Sisymbrium altissimum,Sisymbrium altissimum,archaeophyte,Eu-As,naturalised,epoecophyte
Sisymbrium loeselii,Sisymbrium loeselii,archaeophyte,Med-As,naturalised,epoecophyte
Sisymbrium polymorphum,Sisymbrium polymorphum,archaeophyte,IT,naturalised,epoecophyte
Solidago canadensis,Solidago canadensis,neophyte,NrAm,invasive,hemiepoecophyte
Sonchus arvensis,Sonchus arvensis,archaeophyte,Med,naturalised,epoecophyte
Thymelaea passerina,Thymelaea passerina,archaeophyte,Med-IT,naturalised,epoecophyte
Tribulus terrestris,Tribulus terrestris,neophyte,Med,naturalised,epoecophyte
Trigonella caerulea,Trigonella caerulea,neophyte,Med,casual,ephemerophyte
Tripleurospermum inodorum,Tripleurospermum inodorum,archaeophyte,Med-IT,naturalised,epoecophyte
Ulmus pumila,Ulmus pumila,neophyte,As,naturalised,epoecophyte
Valerianella locusta,Valerianella locusta,archaeophyte,Med-IT,naturalised,epoecophyte
Veronica agrestis,Veronica agrestis,archaeophyte,Med,naturalised,epoecophyte
Veronica arvensis,Veronica arvensis,archaeophyte,Med-IT,naturalised,epoecophyte
Veronica triphyllos,Veronica triphyllos,archaeophyte,As,naturalised,epoecophyte
Vicia hirsuta,Vicia hirsuta,archaeophyte,Med,naturalised,epoecophyte
