series,habitat_broad,habitat_group,pca1_clima
NFD21_20,alpine,alpine,4.561574313
NFD21_20,alpine,alpine,4.561574313
NFD21_26,alpine,alpine,4.244637645
NFD21_26,alpine,alpine,4.244637645
NFD21_28,alpine,alpine,4.167329794
NFD21_28,alpine,alpine,4.167329794
NFD21_33,alpine,alpine,4.530771701
NFD21_33,alpine,alpine,4.530771701
NFD21_21,alpine,alpine,4.561574313
NFD21_21,alpine,alpine,4.561574313
NFD21_24,alpine,alpine,4.167329794
NFD21_24,alpine,alpine,4.167329794
NFD21_27,alpine,alpine,4.455536216
NFD21_27,alpine,alpine,4.455536216
NFD21_30,alpine,alpine,4.455536216
NFD21_30,alpine,alpine,4.455536216
NFD21_11,alpine,alpine,3.380913121
NFD21_11,alpine,alpine,3.380913121
NFD21_12,alpine,alpine,3.380913121
NFD21_12,alpine,alpine,3.380913121
NFD21_31,alpine,alpine,4.038185127
NFD21_31,alpine,alpine,4.038185127
NFD21_01,fringe,fringe,-0.018925828
NFD21_01,fringe,fringe,-0.018925828
NFD21_17,fringe,fringe,1.625318029
NFD21_17,fringe,fringe,1.625318029
NFD21_18,fringe,fringe,1.625318029
NFD21_18,fringe,fringe,1.625318029
NFD21_13,fringe,fringe,3.446964399
NFD21_13,fringe,fringe,3.446964399
NFD21_14,fringe,fringe,3.446964399
NFD21_14,fringe,fringe,3.446964399
NFD21_23,fringe,fringe,3.028134366
NFD21_23,fringe,fringe,3.028134366
NFD21_34,fringe,fringe,4.038185127
NFD21_34,fringe,fringe,4.038185127
NFD21_37,dry,heats,0.219817465
NFD21_37,dry,heats,0.219817465
NFD21_39,dry,heats,0.249734555
NFD21_39,dry,heats,0.249734555
UA_MJ_02,mesic,mesic,3.380913121
UA_MJ_02,mesic,mesic,3.380913121
UA_MJ_05,mesic,mesic,1.6490088
UA_MJ_05,mesic,mesic,1.6490088
NFD21_09,mesic,mesic,1.894562615
NFD21_09,mesic,mesic,1.894562615
NFD21_10,mesic,mesic,1.6490088
NFD21_10,mesic,mesic,1.6490088
NFD21_35,mesic,mesic,0.303643736
NFD21_35,mesic,mesic,0.303643736
UA_MJ_04,mesic,mesic,1.520457556
UA_MJ_04,mesic,mesic,1.520457556
UAS36,mesic,mesic,-1.010918715
UAS36,mesic,mesic,-1.010918715
NFD21_59,mesic,mesic,0.197304318
NFD21_59,mesic,mesic,0.197304318
NFD21_60,mesic,mesic,0.205301682
NFD21_60,mesic,mesic,0.205301682
UA_MJ_01,mesic,mesic,3.446964399
UA_MJ_01,mesic,mesic,3.446964399
UA_MJ_03,mesic,mesic,1.699074569
UA_MJ_03,mesic,mesic,1.699074569
NFD21_15,mesic,mesic,1.701146936
NFD21_15,mesic,mesic,1.701146936
NFD21_16,mesic,mesic,1.701146936
NFD21_16,mesic,mesic,1.701146936
UA01,dry,meso-xeric,0.050384659
UA01,dry,meso-xeric,0.050384659
UA02,dry,meso-xeric,-0.084091583
UA02,dry,meso-xeric,-0.084091583
UA03,dry,meso-xeric,-0.140666553
UA03,dry,meso-xeric,-0.140666553
UA06,dry,meso-xeric,-0.205238886
UA06,dry,meso-xeric,-0.205238886
UA16,dry,meso-xeric,0.016322837
UA16,dry,meso-xeric,0.016322837
UA_Cr_03,dry,meso-xeric,0.1845688
UA_Cr_03,dry,meso-xeric,0.1845688
UA_Cr_08,dry,meso-xeric,0.175092492
UA_Cr_08,dry,meso-xeric,0.175092492
SB20112,dry,meso-xeric,-0.448720334
SB20112,dry,meso-xeric,-0.448720334
SB20113,dry,meso-xeric,-0.518624243
SB20113,dry,meso-xeric,-0.518624243
SB20120,dry,meso-xeric,-0.478044002
SB20120,dry,meso-xeric,-0.478044002
SB20122,dry,meso-xeric,-0.389479577
SB20122,dry,meso-xeric,-0.389479577
SB20139,dry,meso-xeric,-0.421469032
SB20139,dry,meso-xeric,-0.421469032
UAS19,dry,meso-xeric,-1.087934466
UAS19,dry,meso-xeric,-1.087934466
UAS41,dry,meso-xeric,-0.927685866
UAS41,dry,meso-xeric,-0.927685866
NFD21_56,dry,meso-xeric,0.673886945
NFD21_56,dry,meso-xeric,0.673886945
NFD21_57,dry,meso-xeric,0.52874755
NFD21_57,dry,meso-xeric,0.52874755
NFD21_58,dry,meso-xeric,0.37146606
NFD21_58,dry,meso-xeric,0.37146606
NFD21_62,dry,meso-xeric,0.27964242499999997
NFD21_62,dry,meso-xeric,0.27964242499999997
NFD21_63,dry,meso-xeric,0.827617124
NFD21_63,dry,meso-xeric,0.827617124
NFD21_64,dry,meso-xeric,0.257129278
NFD21_64,dry,meso-xeric,0.257129278
RZ2214,dry,meso-xeric,-0.01921793
RZ2214,dry,meso-xeric,-0.01921793
RZ2215,dry,meso-xeric,0.001514952
RZ2215,dry,meso-xeric,0.001514952
RZ2216,dry,meso-xeric,-0.01921793
RZ2216,dry,meso-xeric,-0.01921793
RZ2217,dry,meso-xeric,-0.01921793
RZ2217,dry,meso-xeric,-0.01921793
RZ2218,dry,meso-xeric,-0.01921793
RZ2218,dry,meso-xeric,-0.01921793
RZ2219,dry,meso-xeric,-0.01921793
RZ2219,dry,meso-xeric,-0.01921793
UAS01,complex,pody,-0.894509567
UAS01,complex,pody,-0.894509567
UAS03,complex,pody,-0.894509567
UAS03,complex,pody,-0.894509567
NFD21_02,dry,rocky,0.142208294
NFD21_02,dry,rocky,0.142208294
NFD21_06,dry,rocky,0.046532028
NFD21_06,dry,rocky,0.046532028
NFD21_07,dry,rocky,0.099847787
NFD21_07,dry,rocky,0.099847787
UA_Cr_01,dry,rocky,0.1845688
UA_Cr_01,dry,rocky,0.1845688
UA_Cr_02,dry,rocky,0.099706346
UA_Cr_02,dry,rocky,0.099706346
UA_Cr_04,dry,rocky,0.17449907
UA_Cr_04,dry,rocky,0.17449907
UA_Cr_05,dry,rocky,0.263656917
UA_Cr_05,dry,rocky,0.263656917
UA_Cr_06,dry,rocky,0.159097764
UA_Cr_06,dry,rocky,0.159097764
UA_Cr_07,dry,rocky,0.159097764
UA_Cr_07,dry,rocky,0.159097764
UA04,dry,rocky,-0.140666553
UA04,dry,rocky,-0.140666553
SB18029,dry,rocky,-0.510626879
SB18029,dry,rocky,-0.510626879
SB20121,dry,rocky,-0.426800608
SB20121,dry,rocky,-0.426800608
SB20130,dry,rocky,-0.531953183
SB20130,dry,rocky,-0.531953183
SB20136,dry,rocky,-0.459383486
SB20136,dry,rocky,-0.459383486
NFD21_05,dry,rocky,0.098368843
NFD21_05,dry,rocky,0.098368843
NFD21_08,dry,rocky,0.099847787
NFD21_08,dry,rocky,0.099847787
NFD21_61,dry,rocky,-0.183027059
NFD21_61,dry,rocky,-0.183027059
SB20150,dry,rocky,-0.605116302
SB20150,dry,rocky,-0.605116302
SB20160,dry,rocky,-0.804758299
SB20160,dry,rocky,-0.804758299
SB20169,dry,rocky,-0.659618905
SB20169,dry,rocky,-0.659618905
UAS50,dry,rocky,-0.736926756
UAS50,dry,rocky,-0.736926756
NFD21_46,saline,saline,-0.925020078
NFD21_46,saline,saline,-0.925020078
UAS09,saline,saline,-1.09267262
UAS09,saline,saline,-1.09267262
UAS15,saline,saline,-1.078750258
UAS15,saline,saline,-1.078750258
UAS16,saline,saline,-1.068680528
UAS16,saline,saline,-1.068680528
UAS23,saline,saline,-1.082009468
UAS23,saline,saline,-1.082009468
UAS24,saline,saline,-1.087341044
UAS24,saline,saline,-1.087341044
