type,series,subplot,scale,total_species,native,non_native,invasive,naturalised,casual,neophyte,archaeophyte
p_a,BS19005,NW,1e-4,1,1,0,0,0,0,0,0
p_a,BS19005,NW,0.001,1,1,0,0,0,0,0,0
p_a,BS19005,NW,0.01,4,3,1,1,0,0,1,0
p_a,BS19005,NW,0.1,8,7,1,1,0,0,1,0
p_a,BS19005,NW,1,18,16,2,1,1,0,1,1
p_a,BS19005,NW,10,26,24,2,1,1,0,1,1
p_a,BS19005,SE,1e-4,2,2,0,0,0,0,0,0
p_a,BS19005,SE,0.001,3,3,0,0,0,0,0,0
p_a,BS19005,SE,0.01,5,5,0,0,0,0,0,0
p_a,BS19005,SE,0.1,10,10,0,0,0,0,0,0
p_a,BS19005,SE,1,19,17,2,2,0,0,2,0
p_a,BS19005,SE,10,29,25,4,3,1,0,2,2
p_a,BS19005,x,100,38,34,4,3,1,0,2,2
p_a,BS19013,NW,1e-4,1,1,0,0,0,0,0,0
p_a,BS19013,NW,0.001,2,2,0,0,0,0,0,0
p_a,BS19013,NW,0.01,2,2,0,0,0,0,0,0
p_a,BS19013,NW,0.1,6,6,0,0,0,0,0,0
p_a,BS19013,NW,1,7,7,0,0,0,0,0,0
p_a,BS19013,NW,10,20,19,1,1,0,0,0,1
p_a,BS19013,SE,1e-4,2,2,0,0,0,0,0,0
p_a,BS19013,SE,0.001,3,3,0,0,0,0,0,0
p_a,BS19013,SE,0.01,4,4,0,0,0,0,0,0
p_a,BS19013,SE,0.1,6,6,0,0,0,0,0,0
p_a,BS19013,SE,1,10,10,0,0,0,0,0,0
p_a,BS19013,SE,10,26,25,1,0,1,0,0,1
p_a,BS19013,x,100,38,36,2,1,1,0,0,2
p_a,BS19023,NW,1e-4,1,1,0,0,0,0,0,0
p_a,BS19023,NW,0.001,3,2,1,1,0,0,0,1
p_a,BS19023,NW,0.01,6,5,1,1,0,0,0,1
p_a,BS19023,NW,0.1,11,9,2,1,1,0,0,2
p_a,BS19023,NW,1,14,11,3,1,2,0,0,3
p_a,BS19023,NW,10,24,19,5,2,3,0,1,4
p_a,BS19023,SE,1e-4,2,1,1,1,0,0,0,1
p_a,BS19023,SE,0.001,2,1,1,1,0,0,0,1
p_a,BS19023,SE,0.01,4,3,1,1,0,0,0,1
p_a,BS19023,SE,0.1,13,12,1,1,0,0,0,1
p_a,BS19023,SE,1,18,17,1,1,0,0,0,1
p_a,BS19023,SE,10,30,27,3,2,1,0,1,2
p_a,BS19023,x,100,39,32,7,4,3,0,3,4
p_a,BS19031,NW,1e-4,2,1,1,1,0,0,0,1
p_a,BS19031,NW,0.001,2,1,1,1,0,0,0,1
p_a,BS19031,NW,0.01,3,2,1,1,0,0,0,1
p_a,BS19031,NW,0.1,5,4,1,1,0,0,0,1
p_a,BS19031,NW,1,11,10,1,1,0,0,0,1
p_a,BS19031,NW,10,15,14,1,1,0,0,0,1
p_a,BS19031,SE,0.01,2,2,0,0,0,0,0,0
p_a,BS19031,SE,0.1,9,8,1,1,0,0,0,1
p_a,BS19031,SE,1,11,10,1,1,0,0,0,1
p_a,BS19031,SE,10,14,13,1,1,0,0,0,1
p_a,BS19031,x,100,20,18,2,2,0,0,1,1
p_a,BS19032,NW,1e-4,1,1,0,0,0,0,0,0
p_a,BS19032,NW,0.001,1,1,0,0,0,0,0,0
p_a,BS19032,NW,0.01,4,4,0,0,0,0,0,0
p_a,BS19032,NW,0.1,10,10,0,0,0,0,0,0
p_a,BS19032,NW,1,12,12,0,0,0,0,0,0
p_a,BS19032,NW,10,19,18,1,1,0,0,0,1
p_a,BS19032,SE,1e-4,1,1,0,0,0,0,0,0
p_a,BS19032,SE,0.001,1,1,0,0,0,0,0,0
p_a,BS19032,SE,0.01,4,4,0,0,0,0,0,0
p_a,BS19032,SE,0.1,8,8,0,0,0,0,0,0
p_a,BS19032,SE,1,10,10,0,0,0,0,0,0
p_a,BS19032,SE,10,13,12,1,1,0,0,0,1
p_a,BS19032,x,100,23,22,1,1,0,0,0,1
p_a,BS19048,NW,1e-4,2,2,0,0,0,0,0,0
p_a,BS19048,NW,0.001,3,3,0,0,0,0,0,0
p_a,BS19048,NW,0.01,4,4,0,0,0,0,0,0
p_a,BS19048,NW,0.1,7,7,0,0,0,0,0,0
p_a,BS19048,NW,1,7,7,0,0,0,0,0,0
p_a,BS19048,NW,10,12,12,0,0,0,0,0,0
p_a,BS19048,SE,1e-4,1,1,0,0,0,0,0,0
p_a,BS19048,SE,0.001,1,1,0,0,0,0,0,0
p_a,BS19048,SE,0.01,1,1,0,0,0,0,0,0
p_a,BS19048,SE,0.1,1,1,0,0,0,0,0,0
p_a,BS19048,SE,1,5,4,1,1,0,0,1,0
p_a,BS19048,SE,10,12,11,1,1,0,0,1,0
p_a,BS19048,x,100,21,19,2,2,0,0,1,1
p_a,NFD21_01,NW,1e-4,4,4,0,0,0,0,0,0
p_a,NFD21_01,NW,0.001,6,6,0,0,0,0,0,0
p_a,NFD21_01,NW,0.01,6,6,0,0,0,0,0,0
p_a,NFD21_01,NW,0.1,13,13,0,0,0,0,0,0
p_a,NFD21_01,NW,1,19,19,0,0,0,0,0,0
p_a,NFD21_01,NW,10,30,30,0,0,0,0,0,0
p_a,NFD21_01,SE,1e-4,3,3,0,0,0,0,0,0
p_a,NFD21_01,SE,0.001,5,5,0,0,0,0,0,0
p_a,NFD21_01,SE,0.01,7,7,0,0,0,0,0,0
p_a,NFD21_01,SE,0.1,13,13,0,0,0,0,0,0
p_a,NFD21_01,SE,1,15,15,0,0,0,0,0,0
p_a,NFD21_01,SE,10,28,28,0,0,0,0,0,0
p_a,NFD21_01,x,100,50,49,1,0,1,0,0,1
p_a,NFD21_02,NW,1e-4,8,8,0,0,0,0,0,0
p_a,NFD21_02,NW,0.001,10,10,0,0,0,0,0,0
p_a,NFD21_02,NW,0.01,11,11,0,0,0,0,0,0
p_a,NFD21_02,NW,0.1,12,12,0,0,0,0,0,0
