series,dataset,subplot,habitat_group,economic_use,zonality,lon,lat,altitude,BIO1,BIO12,BIO7,BIO15,pH,depth_mean,cover_herbs,cover_herbs_sum,inclination,heat_index,cover_litter,grazing,grazing_intencity,mowing,burning,abandonment,build_up_5km,built_up_2km,deph_SD,microrelief,cover_stones,cover_gravel,cover_soil,cover_shrub_total,sand,silt,clay,conductivity,Corg,roads,footprint_values,cover_gravel_stones
NFD21_20,8,NE,alpine,0,1,24.539836,48.121647,1773,5,1508,289,34,4.24,13,80,87.221,26,-0.344879021,20,0,0,0,0,0,0.036343161,0,15.71623365,NA,10,2,88,5.121,49.5,39.6,10.9,161.3,1.128,0,12,12
NFD21_20,8,SW,alpine,0,1,24.539724,48.121595,1774.4,5,1508,289,34,4.31,5.3,60,50.765,40,-0.593333039,50,0,0,0,0,0,0.035458819,0,5.333854141,12,10,5,85,1.1,48,42,10,142.2,0.936,0,12,15
NFD21_26,8,NW,alpine,0,1,24.203616,48.265628,1719,9,1426,289,30,3.81,39,60,46.6,5,0.086159514,80,1,1,0,0,0,0.123493361,0.001921845,9.486832981,12,0,0,100,2.5,13,71.1,15.9,180.1,3.636,31,12,0
NFD21_26,8,SE,alpine,0,1,24.203749,48.265523,1714,9,1426,289,30,3.81,43.4,65,47.11,9,-0.054170669,40,1,1,0,0,0,0.123480748,0.001921845,3.911521443,11,0,0,100,1,13,71.1,15.9,180.1,3.636,31,12,0
NFD21_28,8,NW,alpine,0,1,24.229519,48.237016,1638.4,9,1397,289,33,4.43,28.6,85,93.7,16,NA,10,0,0,0,0,0,0.118984231,0.707829408,12.81795616,2,0,0,100,3.5,11,73.6,15.4,225,3.324,8,12,0
NFD21_28,8,SE,alpine,0,1,24.229513,48.236958,1638,9,1397,289,33,4.59,25.4,90,109.51,15,NA,90,0,0,0,0,0,0.118959869,0.707379135,7.987490219,NA,0,0,100,0.01,9,85.6,5.4,344,6.336,8,12,0
NFD21_33,8,NW,alpine,0,1,24.231072,48.224267,1805,3,1478,289,31,4.13,12,60,82,30,-0.576998563,2,0,0,0,0,0,0.119337356,0,4.636809248,10,30,30,40,22,18,68.4,13.6,177.7,3.216,8,12,60
NFD21_33,8,SE,alpine,0,1,24.231183,48.224149,1802,3,1478,289,31,4.11,9.6,80,96.111,22,-0.285689684,30,0,0,0,0,0,0.119471744,0,3.577708764,NA,10,5,85,18.001,20,66.6,13.4,115.1,3.528,8,12,15
NFD21_21,8,NE,alpine,1,1,24.53407,48.122047,1798.6,5,1508,289,34,4.25,36.2,80,107.005,30,-0.110163625,0,0,0,0,0,0,0.035469692,0,9.859006035,16,10,0,90,55,10,85.5,4.5,180,7.92,0,12,10
NFD21_21,8,SW,alpine,1,1,24.53394,48.12202,1798,5,1508,289,34,4.15,29.4,85,117,40,5.14e-17,0,0,0,0,0,0,0.035462443,0,8.561541917,NA,5,0,95,36,10.5,85,4.5,182,6.984,0,12,5
NFD21_24,8,NW,alpine,1,1,24.231134,48.235788,1674,9,1397,289,33,5.26,9.6,85,92.515,8,-0.012248941,90,0,0,0,0,0,0.118833163,0.708280255,4.50555213,NA,5,1,94,23.5,12.5,70.3,17.2,218,1.884,8,12,6
NFD21_24,8,SE,alpine,1,1,24.231236,48.235649,1685.6,9,1397,289,33,5.26,17.2,70,91.12,10,NA,10,0,0,0,0,0,0.118821001,0.708280255,11.62755348,6,5,1,94,25.01,12.5,70.3,17.2,218,1.884,8,12,6
NFD21_27,8,NW,alpine,1,1,24.229663,48.232772,1805.2,4,1459,289,32,3.8,32.6,80,90,0,0,80,0,0,0,0,1,0.119664244,0.538216561,8.324662155,NA,0,0,100,2,10.5,70.4,19.1,243,4.116,8,12,0
NFD21_27,8,SE,alpine,1,1,24.229522,48.232266,1745.2,4,1459,289,32,3.99,26.4,90,94.6,0,0,80,0,0,0,0,1,0.119358791,0.515384615,4.277849927,4,0,0,100,1.1,11.8,70.1,18.1,292,4.788,8,12,0
NFD21_30,8,NW,alpine,1,1,24.230377,48.225048,1785.6,4,1459,289,32,4.34,39.6,95,94.001,6,-0.032478995,90,0,0,0,0,0,0.119483977,0.002544529,21.05469069,23,1,0,99,22,4,78.3,17.7,248,4.104,8,12,1
NFD21_30,8,SE,alpine,1,1,24.230508,48.224942,1795,4,1459,289,32,4.05,43.4,90,107.1,20,-0.257365821,20,0,0,0,0,0,0.119166752,0,18.86266153,30,0,0,100,26,5.5,86.8,7.7,189.3,3.108,8,12,0
NFD21_11,7,NE,alpine,1,1,24.89699,47.80454,1554,18,1185,291,43,6.43,7.2,60,72.94,35,-0.693393167,10,0,0,0,0,1,0.001739664,0,1.76,12,15,10,75,2.1,46.5,44.9,8.6,326,3.024,0,8,25
NFD21_11,7,SW,alpine,1,1,24.8969,47.80443,1561,18,1185,291,43,6.48,7.3,40,57.54,26,-0.452217781,10,0,0,0,0,1,0.001736466,0,4.76,15.5,5,40,55,2.1,45,45.5,9.5,310,2.856,0,8,45
NFD21_12,7,NW,alpine,1,1,24.89631,47.804159,1569,18,1185,291,43,7.2,22.2,95,84.85,15,NA,25,1,2,0,0,0,0.001737531,0,3.04,9,0,0,100,7.5,28,62,10,329,3.684,0,12,0
NFD21_12,7,SE,alpine,1,1,24.896495,47.80406,1566,18,1185,291,43,7.13,24,95,101.22,12,0.169755218,80,1,2,0,0,0,0.001738419,0,4,11,0,0,100,0.5,29,64.2,6.8,315,3.636,0,12,0
NFD21_31,8,NW,alpine,1,1,24.233299,48.228893,1635,11,1367,290,33,4.99,27.8,90,90.5,42,-0.078475383,15,0,0,0,0,0,0.11935715,0.08859146,12.13260071,15,5,5,90,10,39,51.9,9.1,126.4,3.168,8,12,10
