scale,response_var,predictor,slope,p_value_slope,std_slope,chisq,p_value_chisq,r2_partial,r2m,r2c,status,model_converged
0.01,non_native_percent,pca1_clima,-0.9566570386294796,3.206239610435414e-4,-0.5811,12.945893918385812,3.206239610435406e-4,0.09237610296799004,0.30800464885956214,0.4507297201978271,ok,TRUE
0.01,non_native_percent,native,-0.018313362735507967,0.6932500281284648,-0.0293,0.15558952751197885,0.6932500281284647,1.6544304266592907e-4,0.30800464885956214,0.4507297201978271,ok,TRUE
0.01,invasive_percent,pca1_clima,-0.42358303487159193,0.5530882508811552,-0.2435,0.35181366264386793,0.5530882508811552,0.013152491135586036,0.4483581389945952,0.4483581389945952,ok,TRUE
0.01,invasive_percent,native,-0.3812116826924102,0.0781008987665673,-0.5762,3.1039850220732963,0.07810089876656735,0.004604486766172713,0.4483581389945952,0.4483581389945952,ok,TRUE
0.1,non_native_percent,pca1_clima,-0.7862488463961281,7.351266262288836e-6,-0.5023,20.099584029442383,7.351266262288825e-6,0.18081237733976047,0.2566892778979765,0.37075075733180535,ok,TRUE
0.1,non_native_percent,native,-0.03705900339826366,0.06627796856179922,-0.1067,3.3728757733514056,0.06627796856179935,5.593906425231806e-4,0.2566892778979765,0.37075075733180535,ok,TRUE
1,non_native_percent,pca1_clima,-0.6759719596899312,1.0944370519533086e-6,-0.4409,23.754420799056994,1.09443705195331e-6,0.23203203494726535,0.20587845286087583,0.3448747193527104,ok,TRUE
1,non_native_percent,native,-0.02791248682217583,0.016214965346787076,-0.1244,5.779411962945123,0.016214965346787104,0.004774585068520767,0.20587845286087583,0.3448747193527104,ok,TRUE
10,non_native_percent,pca1_clima,-0.6891265242617597,7.260699521539543e-10,-0.4467,37.94930326177574,7.26069952153956e-10,0.33775258869576225,0.2097095961326823,0.3380441124264266,ok,TRUE
10,non_native_percent,native,-0.01671008706429985,0.010136987267851514,-0.1113,6.610663716873188,0.010136987267851522,5.1923281563954105e-6,0.2097095961326823,0.3380441124264266,ok,TRUE
100,non_native_percent,pca1_clima,-0.7647695658691698,3.1536075439851432e-9,-0.5033,35.08661674544235,3.1536075439851445e-9,0.3645296034186331,0.2828307601506963,0.2974736621087689,ok,TRUE
100,non_native_percent,native,-0.015548942101345484,4.818611532436138e-6,-0.1545,20.908066584113115,4.818611532436132e-6,0.01581134510877416,0.2828307601506963,0.2974736621087689,ok,TRUE
100,invasive_percent,pca1_clima,-0.8475744825362053,0.016792928927960242,-0.5481,5.7178869027843735,0.016792928927960245,0.11595891725856745,0.32392816372985933,0.39088683642078687,ok,TRUE
100,invasive_percent,native,-0.022661195922279078,0.0073507301878738785,-0.2213,7.185201379365598,0.007350730187873875,0.034195575866214016,0.32392816372985933,0.39088683642078687,ok,TRUE
