"","Df","SumOfSqs","R2","F","Pr(>F)"
"pca1_clima",1,1.00420313668625,0.0889700997080429,6.57291593733879,0.00599400599400599
"pH",1,0.744821760153746,0.0659895033631059,4.87515985455527,0.015984015984016
"heat_index",1,0.195676153429014,0.0173364593726668,1.28077961564122,0.256743256743257
"microrelief",1,0.0731806332311429,0.00648363662431652,0.478996861189659,0.648351648351648
"cover_grv_stone",1,0.365293631949617,0.032364179785892,2.39099465788681,0.0829170829170829
"cover_herbs_sum",1,1.15036504170176,0.101919709988746,7.52960475836602,0.001998001998002
"cover_litter",1,0.13225107801274,0.0117171428443426,0.865636828489384,0.433566433566434
"grazing_intencity",1,0.100759630891635,0.0089270727002073,0.659512562282429,0.507492507492508
"mowing",1,0.139202388748506,0.0123330130668789,0.911135970496926,0.385614385614386
"abandonment",1,0.0896341979396711,0.00794138480214148,0.586692101074684,0.559440559440559
"build_up",1,0.666105237434721,0.0590153995995063,4.35992835625591,0.013986013986014
"roads",1,0.212769981865297,0.018850933451474,1.39266564074341,0.22977022977023
"Disturbance.Frequency",1,0.396840746659671,0.0351591819510083,2.59748329099248,0.0929070929070929
"Disturbance.Severity",1,0.363048825339511,0.0321652950576633,2.37630149013542,0.105894105894106
"Residual",37,5.65282081980111,0.500826987684007,NA,NA
"Total",51,11.2869732638444,1,NA,NA
