"","Df","SumOfSqs","R2","F","Pr(>F)"
"pca1_clima",1,1.03882295942389,0.0931431869005237,7.80585320345258,0.002997002997003
"pH",1,0.705446276454199,0.0632518888613051,5.30081668581676,0.00899100899100899
"heat_index",1,0.187357655330206,0.0167989058668316,1.40783021859829,0.235764235764236
"microrelief",1,0.072411672040571,0.0064925922569085,0.544110887266793,0.589410589410589
"cover_grv_stone",1,0.346605843606087,0.0310774541310864,2.6044421815132,0.0639360639360639
"cover_herbs_sum",1,1.08550840293246,0.0973291080440686,8.15665380471004,0.001998001998002
"cover_litter",1,0.110546995914973,0.00991189057614792,0.830664758000251,0.443556443556444
"grazing_intencity",1,0.139850339745724,0.0125392938371922,1.05085396178912,0.333666333666334
"mowing",1,0.137640804573636,0.0123411819783523,1.03425122207806,0.340659340659341
"abandonment",1,0.123947121310911,0.0111133757502304,0.93135507370771,0.378621378621379
"builtup_500m",1,0.736998644443246,0.0660809446518969,5.53790535478534,0.003996003996004
"cropland_500m",1,0.176991341154526,0.0158694389832055,1.32993636191928,0.248751248751249
"roads",1,0.202482371778641,0.0181550217267999,1.52147933972072,0.202797202797203
"Disturbance.Frequency",1,0.808000051690877,0.0724470894174438,6.07141932575199,0.00799200799200799
"Disturbance.Severity",1,0.489384959192368,0.0438793485519797,3.67730335258646,0.040959040959041
"Residual",36,4.79097230815446,0.429569278466027,NA,NA
"Total",51,11.1529677477468,1,NA,NA
