"","Df","SumOfSqs","R2","F","Pr(>F)"
"pca1_clima",1,1.34189867107133,0.0210517340076272,3.07117455748151,0.000999000999000999
"pH",1,1.35750804204617,0.0212966141411819,3.1068993882975,0.000999000999000999
"heat_index",1,0.689551777422464,0.0108177024955207,1.57816228642308,0.003996003996004
"microrelief",1,0.520896596084723,0.00817183653479536,1.19216480905889,0.146853146853147
"cover_grv_stone",1,2.07516659597983,0.0325552563258768,4.74938904814667,0.000999000999000999
"cover_herbs_sum",1,1.4730417296304,0.0231091090130947,3.37131884819413,0.000999000999000999
"cover_litter",1,0.532092242070306,0.00834747405975384,1.21778804265076,0.105894105894106
"grazing_intencity",1,0.539692158222686,0.00846670170098285,1.23518180689643,0.0989010989010989
"mowing",1,0.382188754611759,0.00599578505906828,0.874707162786053,0.772227772227772
"abandonment",1,0.343513382041577,0.00538904501710718,0.786191671416028,0.889110889110889
"build_up",1,0.494659702580247,0.00776023160876788,1.13211699655605,0.221778221778222
"roads",1,0.421631944626208,0.00661457063691937,0.964979941386819,0.541458541458541
"Disturbance.Frequency",1,0.748048040412712,0.0117353930748905,1.71204142236407,0.003996003996004
"Disturbance.Severity",1,0.827943019544588,0.0129887871541069,1.89489533858745,0.000999000999000999
"Residual",119,51.9950718751843,0.815699759170307,NA,NA
"Total",133,63.7429045315293,1,NA,NA
