"","Df","SumOfSqs","R2","F","Pr(>F)"
"pca1_clima",1,1.34189867107133,0.0210517340076272,3.09746217059603,0.000999000999000999
"pH",1,1.35750804204617,0.0212966141411819,3.13349278687406,0.000999000999000999
"heat_index",1,0.689551777422464,0.0108177024955207,1.59167051229593,0.002997002997003
"microrelief",1,0.520896596084723,0.00817183653479536,1.20236910278519,0.135864135864136
"cover_grv_stone",1,2.07516659597983,0.0325552563258768,4.79004128053896,0.000999000999000999
"cover_herbs_sum",1,1.4730417296304,0.0231091090130947,3.40017553605354,0.000999000999000999
"cover_litter",1,0.532092242070306,0.00834747405975384,1.22821165756471,0.0989010989010989
"grazing_intencity",1,0.539692158222686,0.00846670170098285,1.24575430313787,0.0899100899100899
"mowing",1,0.382188754611759,0.00599578505906828,0.882194188695342,0.756243756243756
"abandonment",1,0.343513382041577,0.00538904501710718,0.792921052017887,0.878121878121878
"builtup_500m",1,0.49990104587577,0.00784245791040951,1.15390573969745,0.154845154845155
"cropland_500m",1,1.08948941024926,0.017091932321822,2.51483387401959,0.000999000999000999
"roads",1,0.347185316540353,0.00544665040120071,0.801396862038464,0.875124875124875
"Disturbance.Frequency",1,0.601217128265807,0.00943190669901818,1.38777044143799,0.036963036963037
"Disturbance.Severity",1,0.82898797770383,0.0130051804792451,1.91352667393768,0.000999000999000999
"Residual",118,51.120573703713,0.801980613833296,NA,NA
"Total",133,63.7429045315293,1,NA,NA
