response_var_new,variable_new,correlation,correlation_P
Proportion of alien species,Climate PC,0.9285714285714283,0.002519472403794687
Proportion of alien species,Soil pH,0.8928571428571427,0.006807187408935267
Proportion of alien species,Microrelief,-0.7857142857142855,0.03623846267982733
Proportion of alien species,Heat index,-0.607142857142857,0.14823116148116133
Proportion of alien species,Litter cover,-0.6428571428571427,0.11939237342741094
Proportion of alien species,Herb cover,-0.21428571428571422,0.6445115810207203
Proportion of alien species,Gravel & stone cover,-0.39285714285714274,0.3833168704269725
Proportion of alien species,Urban built-up,-0.8571428571428569,0.013697326615325522
Proportion of alien species,Grazing,-0.07142857142857141,0.879048193148154
Proportion of alien species,Mowing,-0.46428571428571414,0.29393410760025174
Proportion of alien species,Abandonment,0.5714285714285713,0.1802019889115276
Proportion of invasive species,Climate PC,0.3999999999999999,0.5046315754686908
Proportion of invasive species,Soil pH,-0.5999999999999999,0.2847569798652938
Proportion of invasive species,Microrelief,-0.8999999999999998,0.03738607346849854
Proportion of invasive species,Heat index,-0.8999999999999998,0.03738607346849854
Proportion of invasive species,Litter cover,-0.6999999999999998,0.1881204043741871
Proportion of invasive species,Herb cover,0,1
Proportion of invasive species,Gravel & stone cover,0.9999999999999998,0
Proportion of invasive species,Urban built-up,-0.9999999999999998,0
Proportion of invasive species,Grazing,0.9999999999999998,0
Proportion of invasive species,Mowing,0.6999999999999998,0.1881204043741871
Proportion of invasive species,Abandonment,0.6999999999999998,0.1881204043741871
Proportion of alien species,Road density,-0.607142857142857,0.14823116148116133
Proportion of alien species,Disturbance frequency,-0.5714285714285713,0.1802019889115276
Proportion of alien species,Disturbance severity,-0.7142857142857142,0.07134356146753773
Proportion of invasive species,Road density,-0.42857142857142855,0.3965014577259476
Proportion of invasive species,Disturbance frequency,-0.42857142857142855,0.3965014577259476
Proportion of invasive species,Disturbance severity,-0.9428571428571428,0.004804664723032204
