model,response,Obs.I,Exp.I,sd,p.value
model1a,"Alien species, %",-0.0062,-0.0057,0.0043,0.91
model1b,"Alien species, %",-0.006,-0.0057,0.0043,0.94
model1c,"Alien species, %",-0.006,-0.0057,0.0043,0.94
model2,"Alien species, %",-0.009,-0.0053,0.004,0.34
model3,"Alien species, %",-0.0037,-0.0053,0.004,0.7
model1a,"Invasive species, %",-0.003,-0.0057,0.0043,0.53
model1b,"Invasive species, %",-0.003,-0.0057,0.0043,0.52
model1c,"Invasive species, %",-0.0028,-0.0057,0.0043,0.49
model2,"Invasive species, %",-0.0054,-0.0053,0.004,0.97
model3,"Invasive species, %",-0.002,-0.0053,0.004,0.41
model1a,"Neophytes, %",-0.0033,-0.0057,0.0043,0.57
model1b,"Neophytes, %",-0.0035,-0.0057,0.0043,0.6
model1c,"Neophytes, %",-0.0032,-0.0057,0.0043,0.55
model2,"Neophytes, %",-0.0041,-0.0053,0.004,0.76
model3,"Neophytes, %",-0.0037,-0.0053,0.004,0.69
model1a,"Archaeophytes, %",-0.0048,-0.0057,0.0043,0.83
model1b,"Archaeophytes, %",-0.0047,-0.0057,0.0043,0.82
model1c,"Archaeophytes, %",-0.0052,-0.0057,0.0043,0.9
model2,"Archaeophytes, %",-0.0126,-0.0053,0.004,0.07
model3,"Archaeophytes, %",-0.0041,-0.0053,0.004,0.77
