response_variable,predictor,model.1_F.value,model.1_p.value,model.1_logLik,model.2_F.value,model.2_p.value,model.2_logLik,logLik_pval,selected_final_model,final_mod_formula
alien,Climate PC,4.726,0.095,-3.321,5.197,0.106,-1.173,0.076,m1,slope ~ log(scale)
alien,Soil pH,6.145,0.068,8.188,2.593,0.222,8.407,0.633,m1,slope ~ log(scale)
alien,Heat index,0.448,0.54,-5.185,0.366,0.721,-4.849,0.551,m1,slope ~ log(scale)
alien,Microrelief,1.204,0.334,23.632,0.657,0.58,23.933,0.574,m1,slope ~ log(scale)
alien,Gravel & stone cover,1.231,0.329,-3.044,23.312,0.015,4.569,0,m2_poly,"slope ~ poly(log(scale), 2)"
alien,Herb cover,1.985,0.232,2.05,0.751,0.544,2.058,0.928,m1,slope ~ log(scale)
alien,Litter cover,5.415,0.081,-1.252,12.355,0.036,2.85,0.003,m2_poly,"slope ~ poly(log(scale), 2)"
alien,Grazing,2.121,0.219,6.329,3.833,0.149,8.858,0.046,m2_poly,"slope ~ poly(log(scale), 2)"
alien,Mowing,0.078,0.793,-0.057,0.482,0.658,0.721,0.346,m1,slope ~ log(scale)
alien,Abandonment,2.426,0.194,3.858,1.071,0.446,4.053,0.654,m1,slope ~ log(scale)
alien,Croplands cover (250 m),1.856,0.245,8.039,11.569,0.039,13.39,0,m2_poly,"slope ~ poly(log(scale), 2)"
alien,Urban built-up (250 m),30.63,0.005,8.368,39.973,0.007,11.852,0.01,m2_poly,"slope ~ poly(log(scale), 2)"
alien,Croplands cover (500 m),0.425,0.55,6.27,7.076,0.073,11.198,0,m2_poly,"slope ~ poly(log(scale), 2)"
alien,Urban built-up (500 m),20.381,0.011,7.844,11.422,0.04,8.882,0.265,m1,slope ~ log(scale)
alien,Croplands cover (1000 m),0.519,0.511,6.129,5.979,0.09,10.583,0.001,m2_poly,"slope ~ poly(log(scale), 2)"
alien,Urban built-up (1000 m),7.695,0.05,5.64,4.768,0.117,6.711,0.257,m1,slope ~ log(scale)
alien,Road density,0.735,0.44,17.126,0.336,0.739,17.226,0.75,m1,slope ~ log(scale)
alien,Disturbance frequency,1.016,0.37,4.595,6.304,0.084,8.863,0.002,m2_poly,"slope ~ poly(log(scale), 2)"
alien,Disturbance severity,12.434,0.024,-9.123,6.805,0.077,-8.228,0.307,m1,slope ~ log(scale)
