Habitats,estimate,SE,z-ratio,p-value,estimate2,SE2,z-ratio2,p-value2
saline - complex,-0.7410448859463586,0.2916989034719427,-2.5404445375902367,0.14495179173251638,-0.611801541105992,0.1411571566535402,-4.334187196810812,2.9436196187471175e-4
saline - dry,0.693769496841153,0.15060193846299832,4.606643871397488,8.361101176446173e-5,-1.0085660079833234,0.056080765001206546,-17.984169937083145,0
saline - wet,1.5816751154567437,0.6045504862584196,2.616282926585299,0.1209663963950699,-0.9886113934537819,0.1208474133313713,-8.180658288009413,8.870681966755001e-14
saline - mesic,1.7602900225209854,0.25942408431582836,6.785376258196487,2.4311408441946014e-10,-1.2878542883066375,0.06559306578508611,-19.634000528748828,0
saline - fringe,4.046023038223699,1.011675469746677,3.999328993552469,0.0012417735789321815,-1.1015840590572659,0.07709441862148024,-14.288765370497778,0
saline - alpine,3.881931918682795,1.0119350050444873,3.836147479167533,0.002396382138528219,-0.4855078157817,0.08045305356699838,-6.034672324492777,3.3389654596760465e-8
complex - dry,1.4348143827875117,0.2583197512868886,5.554412218344133,5.821161931374164e-7,-0.39676446687733136,0.1308358300059829,-3.0325367818524023,0.03905572532049473
complex - wet,2.3227200014031024,0.6399448729940719,3.6295626380065067,0.005278430033793358,-0.37680985234778985,0.169047506692992,-2.229017509451447,0.27977195866426774
complex - mesic,2.501334908467344,0.33368998420571944,7.495984377299362,1.4273027204581012e-12,-0.6760527472006455,0.13518658398421243,-5.000886384403332,1.1819553913161585e-5
complex - fringe,4.787067924170057,1.0332160500704908,4.633172242962603,7.36638206405571e-5,-0.4897825179512738,0.14112587145104874,-3.4705367124777045,0.009377055341468599
complex - alpine,4.622976804629154,1.0334701758979277,4.473256134955703,1.5633962633454512e-4,0.12629372532429206,0.14298830734884652,0.8832451244854244,0.9751412849104029
dry - wet,0.8879056186155907,0.589170717240324,1.5070430227329374,0.7407643206387231,0.019954614529541503,0.10861293130988442,0.18372227219067344,0.9999967888749368
dry - mesic,1.0665205256798325,0.221227708800892,4.820917467620278,2.9443463589018393e-5,-0.2792882803233141,0.038666805116650244,-7.2229469044767365,1.0730527577607063e-11
dry - fringe,3.352253541382546,1.0025607710784148,3.343691113882962,0.014517668606825018,-0.09301805107394245,0.056001972477997784,-1.6609781219846793,0.6422600584580463
dry - alpine,3.188162421841642,1.00282266530657,3.1791886363747057,0.024864349820447496,0.5230581922016234,0.06054226100086358,8.639554974568302,6.072919944699606e-14
wet - mesic,0.17861490706424177,0.6258929986090044,0.28537610655686946,0.9999562548197529,-0.2992428948528556,0.11381637370647396,-2.6291726322663047,0.11721146334985566
wet - fringe,2.4643479227669554,1.1610032068309823,2.1226021670461352,0.3391286236491893,-0.11297266560348396,0.12081086882888122,-0.9351200492026969,0.9669388721988691
wet - alpine,2.300256803226051,1.1612293677904686,1.9808806658092615,0.4268597579784641,0.5031035776720819,0.12298134197047703,4.0908935421509485,8.47798155266366e-4
mesic - fringe,2.2857330157027134,1.02457211135168,2.2309147305280743,0.2787716699433569,0.18627022924937164,0.06552571249053674,2.842704370078737,0.0672820463117807
mesic - alpine,2.1216418961618095,1.0248283806115372,2.0702411606670963,0.3705109551408342,0.8023464725249375,0.06944611899208444,11.553510608942595,0
fringe - alpine,-0.16409111954090383,1.4164955383872269,-0.11584301898171337,0.9999997955563202,0.6160762432755659,0.08039815014389423,7.662816149039883,4.246603069191224e-13
