habitat_broad,scale,total_species_min,total_species_max,total_species_mean,native_min,native_max,native_mean,non_native_percent_min,non_native_percent_max,non_native_percent_mean,invasive_percent_min,invasive_percent_max,invasive_percent_mean,archaeophyte_percent_min,archaeophyte_percent_max,archaeophyte_percent_mean,neophyte_percent_min,neophyte_percent_max,neophyte_percent_mean,Plot_number,non_native_plot_n,percent_plots_alien,invasive_plot_n,percent_plots_invasive,archaeophyte_plot_n,percent_plots_archaeophyte,neophyte_plot_n,percent_plots_neophyte
all,0.001,1,12,3.61,0,12,3.5,0,100,2.82,0,50,0.5,0,100,2.78,0,11.11,0.03,364,35,9.62,5,1.37,34,9.34,1,0.27
all,0.01,1,21,6.34,1,20,6.09,0,50,3.59,0,33.33,0.58,0,50,3.31,0,25,0.28,379,72,19,11,2.9,66,17.41,7,1.85
all,0.1,1,35,11.51,1,34,10.97,0,50,4.55,0,20,0.94,0,50,3.84,0,20,0.71,381,124,32.55,35,9.19,101,26.51,30,7.87
all,1,1,52,18.28,1,51,17.41,0,44.44,4.89,0,20,0.95,0,44.44,4.12,0,20,0.77,382,161,42.15,53,13.87,135,35.34,48,12.57
all,10,1,71,28.99,1,70,27.26,0,44.44,6.24,0,33.33,1.38,0,44.44,5.18,0,33.33,1.06,382,228,59.69,105,27.49,188,49.21,90,23.56
all,100,2,91,43.91,2,90,40.73,0,33.33,7.7,0,33.33,1.71,0,33.33,6.18,0,33.33,1.51,191,146,76.44,86,45.03,122,63.87,82,42.93
saline,0.001,1,8,3.15,1,8,2.85,0,50,5.98,0,0,0,0,50,5.98,0,0,0,40,8,20,0,0,8,20,0,0
saline,0.01,1,10,4.4,1,9,3.98,0,50,6.52,0,0,0,0,50,6.52,0,0,0,42,12,28.57,0,0,12,28.57,0,0
saline,0.1,1,21,7.07,1,18,6.33,0,38.46,6.88,0,11.11,0.26,0,38.46,6.62,0,11.11,0.26,42,17,40.48,1,2.38,16,38.1,1,2.38
saline,1,1,25,9.12,1,21,8.17,0,33.33,6.8,0,9.09,0.39,0,33.33,6.58,0,9.09,0.22,42,19,45.24,2,4.76,18,42.86,1,2.38
saline,10,1,32,12.83,1,27,11.14,0,33.33,8.98,0,33.33,1.5,0,33.33,7.72,0,33.33,1.26,42,22,52.38,7,16.67,20,47.62,5,11.9
saline,100,2,45,18.71,2,37,16,0,33.33,11.73,0,33.33,2.51,0,26.67,9.66,0,33.33,2.07,21,14,66.67,6,28.57,12,57.14,4,19.05
complex,0.001,4,11,6.5,4,10,6,0,16.67,6.44,0,0,0,0,16.67,6.44,0,0,0,4,2,50,0,0,2,50,0,0
complex,0.01,7,13,9.25,6,12,8.25,0,22.22,11.05,0,0,0,0,22.22,11.05,0,0,0,4,3,75,0,0,3,75,0,0
complex,0.1,9,14,11.5,9,12,10.5,0,14.29,7.99,0,0,0,0,14.29,7.99,0,0,0,4,3,75,0,0,3,75,0,0
complex,1,13,21,15.75,12,17,14,6.67,19.05,10.14,0,4.76,1.19,6.67,14.29,8.95,0,4.76,1.19,4,4,100,1,25,4,100,1,25
complex,10,13,32,22.25,12,25,18.75,7.69,21.88,14.27,0,3.12,0.78,7.69,18.75,13.49,0,3.12,0.78,4,4,100,1,25,4,100,1,25
complex,100,35,45,40,25,34,29.5,24.44,28.57,26.51,0,4.44,2.22,22.22,28.57,25.4,0,2.22,1.11,2,2,100,1,50,2,100,1,50
dry,0.001,1,12,3.33,0,12,3.24,0,100,2.76,0,50,0.72,0,100,2.76,0,0,0,255,22,8.63,5,1.96,22,8.63,0,0
dry,0.01,1,17,6.11,1,17,5.86,0,50,3.72,0,33.33,0.82,0,50,3.36,0,25,0.36,267,51,19.1,11,4.12,47,17.6,5,1.87
dry,0.1,1,27,11.63,1,27,11.05,0,50,4.9,0,20,1.19,0,50,4.1,0,20,0.81,269,93,34.57,31,11.52,76,28.25,22,8.18
dry,1,1,45,19.06,1,45,18.08,0,44.44,5.28,0,20,1.15,0,44.44,4.43,0,20,0.85,270,123,45.56,45,16.67,106,39.26,33,12.22
dry,10,2,64,31.06,2,63,29.06,0,44.44,6.74,0,14.29,1.55,0,44.44,5.65,0,14.29,1.09,270,181,67.04,90,33.33,154,57.04,66,24.44
dry,100,3,91,47.59,3,90,43.87,0,33.33,8.23,0,10.26,1.86,0,33.33,6.62,0,9.38,1.61,135,118,87.41,75,55.56,101,74.81,67,49.63
wet,0.001,3,5,4,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
wet,0.01,6,9,7.5,6,9,7.5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
wet,0.1,8,15,11.25,8,15,11.25,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
wet,1,14,19,17.5,14,19,17.25,0,5.26,1.32,0,5.26,1.32,0,0,0,0,5.26,1.32,4,1,25,1,25,0,0,1,25
wet,10,25,33,28.25,25,30,27,0,9.09,4.06,0,3.03,0.76,0,7.14,3.3,0,3.03,0.76,4,2,50,1,25,2,50,1,25
wet,100,44,45,44.5,41,45,43,0,6.82,3.41,0,2.27,1.14,0,4.55,2.27,0,2.27,1.14,2,1,50,1,50,1,50,1,50
mesic,0.001,3,9,6.08,3,9,5.96,0,25,2.16,0,0,0,0,25,1.73,0,11.11,0.43,26,3,11.54,0,0,2,7.69,1,3.85
mesic,0.01,4,21,11.5,4,20,11.31,0,12.5,1.61,0,0,0,0,12.5,1.19,0,6.25,0.42,26,5,19.23,0,0,3,11.54,2,7.69
mesic,0.1,6,35,19.46,6,34,18.96,0,18.18,3.32,0,11.11,1.07,0,13.33,1.73,0,11.11,1.59,26,10,38.46,3,11.54,5,19.23,7,26.92
mesic,1,11,52,29.81,10,51,28.96,0,20,4.05,0,8.33,1.03,0,13.33,2.27,0,8.33,1.79,26,13,50,4,15.38,6,23.08,12,46.15
mesic,10,15,71,42.46,12,70,41.27,0,21.74,4.2,0,8.7,1.45,0,13.33,2.25,0,8.7,1.95,26,18,69.23,6,23.08,7,26.92,17,65.38
mesic,100,27,85,59.69,27,84,58,0,15.79,3.72,0,5.56,1.2,0,8.33,1.89,0,7.89,1.83,13,9,69.23,3,23.08,4,30.77,9,69.23
fringe,0.001,2,7,4.86,2,7,4.86,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
fringe,0.01,4,16,8.07,4,16,8.07,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
fringe,0.1,5,32,13.71,5,32,13.71,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
